"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:37:13.2211669Z","precommit","lock_acquired","","d55f90f997982c7609f7b4de560abc1591b606b8f074f64cc475123a2a7b5e8b","D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_mi350p_formal_transaction_prep\scripts\MI350P-FORMAL-TRANSACTION-LOCK-0e725eb278e19a33.lock"
"2","2026-08-13T07:37:40.5352494Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=ec30a8003e6359a9884154a2f1e9ef96f78d36b6a3fa9a62fb9ec670f5d299d2"
"3","2026-08-13T07:37:40.5731824Z","commit_complete","csv_replace","数据/card-completeness.csv","ec30a8003e6359a9884154a2f1e9ef96f78d36b6a3fa9a62fb9ec670f5d299d2","commit_index=1"
"4","2026-08-13T07:37:40.5780433Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=bdacd9a4db0abca65dc177743e4932db626c0e4e95563487245d4c969ed98c1b"
"5","2026-08-13T07:37:40.6064507Z","commit_complete","csv_replace","数据/components.csv","bdacd9a4db0abca65dc177743e4932db626c0e4e95563487245d4c969ed98c1b","commit_index=2"
"6","2026-08-13T07:37:40.6113059Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=93e4524025b8e2192c0e46d5cd56d46d0333996b09a26bda945d2a9f4b9b8054"
"7","2026-08-13T07:37:40.6425647Z","commit_complete","csv_replace","数据/condition-sets.csv","93e4524025b8e2192c0e46d5cd56d46d0333996b09a26bda945d2a9f4b9b8054","commit_index=3"
"8","2026-08-13T07:37:40.6474114Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=ef06b282153529e90c440156958479d3e69d80ef964721d690ce63752888be78"
"9","2026-08-13T07:37:40.6775514Z","commit_complete","csv_replace","数据/facts.csv","ef06b282153529e90c440156958479d3e69d80ef964721d690ce63752888be78","commit_index=4"
"10","2026-08-13T07:37:40.6852459Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=029c3f9ea2a84c8c9f4946f19971c2fa7997c36ac2243d825ccefe51def7e99f"
"11","2026-08-13T07:37:40.7135010Z","commit_complete","csv_replace","数据/field-requirements.csv","029c3f9ea2a84c8c9f4946f19971c2fa7997c36ac2243d825ccefe51def7e99f","commit_index=5"
"12","2026-08-13T07:37:40.7194339Z","commit_begin","csv_replace","数据/links.csv","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","registered_before_move;candidate=4062ede242ad52eaa70a2ad4e5470a487cca8bc20ab8417668fc6872636762dd"
"13","2026-08-13T07:37:40.7490974Z","commit_complete","csv_replace","数据/links.csv","4062ede242ad52eaa70a2ad4e5470a487cca8bc20ab8417668fc6872636762dd","commit_index=6"
"14","2026-08-13T07:37:40.7536952Z","commit_begin","csv_replace","数据/memory-levels.csv","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","registered_before_move;candidate=eb56148f19ec2ade6df304774e56bc7cf4780ab22f0a14613c76a3bf5fd3d2c5"
"15","2026-08-13T07:37:40.7884455Z","commit_complete","csv_replace","数据/memory-levels.csv","eb56148f19ec2ade6df304774e56bc7cf4780ab22f0a14613c76a3bf5fd3d2c5","commit_index=7"
"16","2026-08-13T07:37:40.7946608Z","commit_begin","csv_replace","数据/precision-paths.csv","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","registered_before_move;candidate=7c923b632e4a4f23fbf613ea8b024e2270eb15bca5338517f9963cad2a375e21"
"17","2026-08-13T07:37:40.8224541Z","commit_complete","csv_replace","数据/precision-paths.csv","7c923b632e4a4f23fbf613ea8b024e2270eb15bca5338517f9963cad2a375e21","commit_index=8"
"18","2026-08-13T07:37:40.8294357Z","commit_begin","csv_replace","最小参考资料库/fact-assertions.csv","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","registered_before_move;candidate=ab3b3cc61ee1befc17464d081af693f50ac8cc106f0f65b148540ff24254e41f"
"19","2026-08-13T07:37:40.8639561Z","commit_complete","csv_replace","最小参考资料库/fact-assertions.csv","ab3b3cc61ee1befc17464d081af693f50ac8cc106f0f65b148540ff24254e41f","commit_index=9"
"20","2026-08-13T07:37:40.8698828Z","commit_begin","csv_replace","最小参考资料库/search-log.csv","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","registered_before_move;candidate=2f3431b7ab2d2b3ee8196634ff53040a494ceb3c71c4c589e1ddb7cac169ceb6"
"21","2026-08-13T07:37:40.9021666Z","commit_complete","csv_replace","最小参考资料库/search-log.csv","2f3431b7ab2d2b3ee8196634ff53040a494ceb3c71c4c589e1ddb7cac169ceb6","commit_index=10"
"22","2026-08-13T07:37:40.9075376Z","commit_begin","csv_replace","最小参考资料库/search-results.csv","92aec74a85406ffa96c826348ffe298dba702639ecdf956160bf655db48cc40f","registered_before_move;candidate=c5cdee5261d6f402594ba412ec8afc17d9c89a451cb927d6176d246135237875"
"23","2026-08-13T07:37:40.9354046Z","commit_complete","csv_replace","最小参考资料库/search-results.csv","c5cdee5261d6f402594ba412ec8afc17d9c89a451cb927d6176d246135237875","commit_index=11"
"24","2026-08-13T07:37:40.9406433Z","commit_begin","csv_replace","最小参考资料库/selection-members.csv","073cba4b5671f2273f75e99a355259444c7c28c2a2da4006b19535b3f030ce0b","registered_before_move;candidate=aa9178450695af39ef3af7d1d3edc1688ae414bfe3f193d8bb40bcea29d5f340"
"25","2026-08-13T07:37:40.9701621Z","commit_complete","csv_replace","最小参考资料库/selection-members.csv","aa9178450695af39ef3af7d1d3edc1688ae414bfe3f193d8bb40bcea29d5f340","commit_index=12"
"26","2026-08-13T07:37:40.9762640Z","commit_begin","csv_replace","最小参考资料库/selection-runs.csv","4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0","registered_before_move;candidate=6bbd0536aa98bc01b4c1070246f4d47af259bdea30c1b9b5fd91b46536ffdfcb"
"27","2026-08-13T07:37:41.0006262Z","commit_complete","csv_replace","最小参考资料库/selection-runs.csv","6bbd0536aa98bc01b4c1070246f4d47af259bdea30c1b9b5fd91b46536ffdfcb","commit_index=13"
