"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"CMP-GROQ-LPU1-TSP","OBJ-GROQ-LPU1-ARCH","","compute","other_fixed_function","First-generation Groq Tensor Streaming Processor","draft","代际根组件，承接跨功能切片的执行模型"
"CMP-NVG3-LPU","OBJ-NVIDIA-GROQ3-ARCH","","compute","other_fixed_function","NVIDIA Groq 3 LPU","draft","代际根组件，承接跨计算、存储和通信的执行模型"
"CMP-GROQ-LPU1-ICU","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","control","control","Instruction Control Unit","draft","第一代 TSP 的指令控制切片"
"CMP-GROQ-LPU1-MXM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","compute","matrix","Matrix Execution Module","draft","矩阵执行路径；阵列数量和形状属于首颗实现，已移入实现待办"
"CMP-GROQ-LPU1-VXM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","compute","vector","Vector Execution Module","draft","向量执行路径；具体 lane 和 ALU 数量属于首颗实现"
"CMP-GROQ-LPU1-SXM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","data_movement","special_function","Switch Execution Module","draft","向量置换与数据重排"
"CMP-GROQ-LPU1-MEM","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","memory","memory_level","Memory Execution Module SRAM","draft","显式编译器管理的片上 SRAM"
"CMP-GROQ-LPU1-STREAM-REG","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","memory","memory_level","Stream register file","draft","架构可见的逻辑 stream register file；具体 stream 数量属于首颗实现待办"
"CMP-GROQ-LPU1-C2C","OBJ-GROQ-LPU1-ARCH","CMP-GROQ-LPU1-TSP","data_movement","network_offload","Chip-to-chip interface","draft","第一代 TSP 的显式芯片间通信路径；具体链路数量属于实现"
"CMP-NVG3-MXM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","compute","matrix","Groq 3 Matrix Execution Module","draft","固定类型 dense MAC，具体类型未公开"
"CMP-NVG3-VXM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","compute","vector","Groq 3 Vector Execution Module","draft","逐点算术、格式转换和激活"
"CMP-NVG3-SXM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","data_movement","special_function","Groq 3 Switch Execution Module","draft","置换、旋转、分发和转置"
"CMP-NVG3-MEM","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","memory","memory_level","Groq 3 on-chip SRAM","draft","编译器与运行时管理，不是硬件 cache"
"CMP-NVG3-C2C","OBJ-NVIDIA-GROQ3-ARCH","CMP-NVG3-LPU","data_movement","network_offload","Groq 3 chip-to-chip interface","draft","Groq 3 的 C2C 通信路径；每 LPU 链路数量属于实现"
"CMP-HUAWEI-DV-CORE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","compute","other_fixed_function","Da Vinci AI Core","draft","原始论文覆盖的可扩展 AI Core"
"CMP-HUAWEI-DV-SCALAR","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","compute","scalar","Scalar Unit","draft","RISC-like 控制和简单标量操作"
"CMP-HUAWEI-DV-VECTOR","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","compute","vector","Vector Unit","draft","SIMD 向量路径"
"CMP-HUAWEI-DV-CUBE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","compute","matrix","Cube Unit","draft","Da Vinci 的矩阵计算单元；具体阵列形状按实现配置记录"
"CMP-HUAWEI-DV-CUBE-MULT","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CUBE","compute","matrix","Cube multipliers","draft","Cube 内的乘法单元；具体数量按实现配置记录"
"CMP-HUAWEI-DV-CUBE-ACC","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CUBE","compute","matrix","Cube accumulators","draft","Cube 内的累加单元；具体数量按实现配置记录"
"CMP-HUAWEI-DV-MTE","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","data_movement","dma","Memory Transfer Engine","draft","执行搬运、解压和数据变换"
"CMP-HUAWEI-DV-PSQ","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","control","control","Program Sequence Queue","draft","协调 cube、vector 与 MTE 队列"
"CMP-HUAWEI-DV-L1","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","memory","memory_level","L1 Buffer","draft","核心内一级 buffer"
"CMP-HUAWEI-DV-L0A","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-L1","memory","memory_level","L0A Buffer","draft","Cube 输入 feature map buffer"
"CMP-HUAWEI-DV-L0B","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-L1","memory","memory_level","L0B Buffer","draft","Cube weight buffer"
"CMP-HUAWEI-DV-L0C","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-L1","memory","memory_level","L0C Buffer","draft","Cube 输出/累加 buffer"
"CMP-HUAWEI-DV-UB","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","CMP-HUAWEI-DV-CORE","memory","memory_level","Unified Buffer","draft","Vector 与 scalar 共享 buffer"
