"error_id","occurred_at","classification","stage","action","observed","impact","resolution","approval_or_sandbox"
"ERR-MI350P-TXN-0001","2026-08-13","model_operator_mistake","input_hash_probe","复核最终报告与签字 SHA-256","把 statement-form foreach 直接接到管道，PowerShell 报 EmptyPipeElement。","只读命令在解析阶段退出；没有读写项目文件，也没有改变正式库或输入。","先把循环结果赋给变量，再单独输出；报告与签字哈希随后核对通过。","not_applicable"
"ERR-MI350P-TXN-0002","2026-08-13","model_operator_mistake","signoff_binding_probe","汇总签字唯一绑定并读取冻结清单","再次把 statement-form foreach 直接接到管道，PowerShell 报 EmptyPipeElement。","只读命令在解析阶段退出；没有读写项目文件，也没有改变正式库或输入。","改为先把循环结果赋给变量，再分步读取清单和哈希。","not_applicable"
"ERR-MI350P-TXN-0003","2026-08-13","model_operator_mistake","static_builder_adaptation","替换模板常量块","精确字符串匹配忽略了模板 CRLF 与替换文本 LF 的差异，触发 Expected constant block not found。","替换前显式检查失败，目标脚本没有被改写；正式库和输入未变化。","改用受起止变量约束的单行模式，并检查替换次数恰为 1。","not_applicable"
"ERR-MI350P-TXN-0004","2026-08-13","model_operator_mistake","static_builder_adaptation","插入冻结来源与签字行哈希断言","编辑命令错误使用反斜杠转义 PowerShell 双引号，解析器报 UnexpectedToken。","命令在解析阶段退出，目标脚本没有被改写；正式库和输入未变化。","改用单引号 here-string 与显式索引插入，避免嵌套双引号转义。","not_applicable"
"ERR-MI350P-TXN-0005","2026-08-13","model_operator_mistake","static_builder_adaptation","插入冻结来源与签字行哈希断言","here-string 末尾未保留换行，两处新断言与后一条语句拼接在同一行。","问题在静态检查前被读取发现；脚本尚未执行，正式库和输入未变化。","精确拆开两处拼接边界，并在执行前运行 PowerShell 语法解析。","not_applicable"
"ERR-MI350P-TXN-0006","2026-08-13","model_operator_mistake","static_builder_adaptation","拆开两处拼接语句","修复命令再次错误使用反斜杠转义 PowerShell 双引号，解析器报缺少右括号和字符串终止符。","命令在解析阶段退出，目标脚本未变化；正式库和输入未变化。","使用单引号字面片段与 Environment.NewLine 拼接替换值。","not_applicable"
"ERR-MI350P-TXN-0007","2026-08-13","model_operator_mistake","checkpoint_update","把静态合同节点改为 completed","双引号字符串中的 Markdown 反引号与 PowerShell 转义冲突，解析器报缺少右括号。","命令在解析阶段退出，节点文档未变化；正式库和输入未变化。","按节点标题索引定位状态行，使用单引号字面量完成替换并立即复读。","not_applicable"
"ERR-MI350P-TXN-0008","2026-08-13","model_operator_mistake","candidate_oracle_validation","核对生命周期重放后的候选校验计数","首次沿用 staging 临时合并的 111,343 项作为候选门，实际完整校验通过 111,390 项。","候选镜像在计数比较处停止，正式库和四个目标未变化；临时候选随后清理。","逐项审计新增 47 项状态检查，将候选与提交后门固定为 111,390，同时保留上游签字对 111,343 的绑定。","not_applicable"
"ERR-MI350P-TXN-0009","2026-08-13","model_operator_mistake","freeze_preflight","冻结前重跑事务预检","误用不存在的 RootPath 与 PackageRoot 参数，脚本按参数绑定错误退出。","命令在读取或写入正式数据前退出；正式库和四个目标未变化。","读取脚本参数块，改用 SourceRoot、TargetRoot 与 WorkRoot。","not_applicable"
"ERR-MI350P-TXN-0010","2026-08-13","model_operator_mistake","freeze_preflight","冻结前重跑事务预检","首次改参时把 TargetRoot 误指向局部 staging，预检因缺少完整 32 表而退出。","只读预检在缺失文件门停止；正式库和四个目标未变化。","按预检合同把 SourceRoot 与 TargetRoot 均绑定当前正式根，复跑通过 11,290 项检查。","not_applicable"
