endpoint_id	source_family	planned_source_version	candidate_role	evidence_role	payload_relative_path	expected_media	endpoint_url	version_risk_or_capture_note
R1GA100-WEB-001	NVIDIA Technical Blog	2020-05-14	selected_candidate	GA100 direct identity and dated publication	payload/html/nvidia-technical-blog_ampere-architecture-in-depth__captured-20260821.html	text/html	https://developer.nvidia.com/blog/nvidia-ampere-architecture-in-depth/	Dated URL is mutable; retain raw HTML body and capture date.
R1GA100-WEB-002	NVIDIA Newsroom A100 launch	2020-05-14	selected_candidate	A100 production and shipping event	payload/html/nvidia-newsroom_a100-full-production-launch__captured-20260821.html	text/html	https://nvidianews.nvidia.com/news/nvidias-new-ampere-data-center-gpu-in-full-production	HTML provides the event date; paired fixed PDF is captured separately.
R1GA100-WEB-003	NVIDIA Newsroom A100 launch	2020-05-14 PDF mirror	selected_candidate	Fixed mirror of A100 production and shipping event	payload/pdf/nvidia-newsroom_a100-full-production-launch__captured-20260821.pdf	application/pdf	https://nvidianews.nvidia.com/_gallery/download_pdf/5ebd41a5ed6ae54cffe0332f/	Gallery URL is opaque; preserve original endpoint and payload hash.
R1GA100-WEB-004	NVIDIA A100 PCIe Product Brief	PB-10137-001_v03	lead_candidate	Card-to-GA100 SKU link and Product Brief version audit	payload/pdf/nvidia-a100-pcie-product-brief-40gb_PB-10137-001_v03__captured-20260821.pdf	application/pdf	https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/A100-PCIE-Prduct-Brief.pdf	Internal PDF version controls; filename has spelling error and no visible revision in URL.
R1GA100-WEB-005	NVIDIA A100 PCIe Product Brief	PB-10577-001_v03	lead_candidate	Card-to-GA100 SKU link and URL-versus-internal-version audit	payload/pdf/nvidia-a100-pcie-product-brief-80gb_PB-10577-001_v03__captured-20260821.pdf	application/pdf	https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/PB-10577-001_v02.pdf	URL says v02 while prior audit reports internal v03; verify from downloaded PDF.
R1GA100-WEB-006	NVIDIA MIG User Guide	latest HTML snapshot	selected_candidate	MIG guide entry and version-risk snapshot	payload/html/nvidia-mig-user-guide_latest-index__captured-20260821.html	text/html	https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/index.html	`latest` is mutable; snapshot is evidence, not a fixed release.
R1GA100-WEB-007	NVIDIA MIG User Guide	current supported-GPUs HTML snapshot	selected_candidate	A100-to-GA100 mapping and current supported-GPUs table	payload/html/nvidia-mig-user-guide_supported-gpus__captured-20260821.html	text/html	https://docs.nvidia.com/datacenter/tesla/mig-user-guide/supported-gpus.html	Unversioned current page may change independently of latest index.
R1GA100-WEB-008	NVIDIA MIG User Guide	unversioned PDF endpoint	selected_candidate	Frozen MIG PDF release and pagination	payload/pdf/nvidia-mig-user-guide_unversioned-endpoint__captured-20260821.pdf	application/pdf	https://docs.nvidia.com/datacenter/tesla/pdf/MIG_User_Guide.pdf	Filename has no release; internal PDF release, pages, hash and capture date govern.
R1GA100-WEB-009	NVIDIA vGPU software lifecycle	2026-08-03	selected_candidate	A100 vGPU full-support status	payload/html/nvidia-vgpu-software-lifecycle_supported-gpus__captured-20260821.html	text/html	https://docs.nvidia.com/vgpu/news/vgpu-software-lifecycle-on-supported-gpus/index.html	Dated title but mutable page; retain capture and footer version/date if present.
R1GA100-WEB-010	NVIDIA AI Enterprise Infra support matrix	Infra 8.2	selected_candidate	A100 and driver/vGPU version support binding	payload/html/nvidia-ai-enterprise-infra-8-2_support-matrix__captured-20260821.html	text/html	https://docs.nvidia.com/ai-enterprise/release-8/latest/support/support-matrix-8/8.2.html	Path embeds latest; body and title must be checked for 8.2 and update date.
R1GA100-WEB-011	NVIDIA AI Enterprise Infra vGPU docs	Infra 8.2 A100 vGPU types	selected_candidate	A100 profiles and feature binding	payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-ampere-a100__captured-20260821.html	text/html	https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/reference/ampere-a100.html	Path embeds latest; body is evidence endpoint, not support-matrix substitute.
R1GA100-WEB-012	NVIDIA AI Enterprise Infra vGPU docs	Infra 8.2 Live Migration	selected_candidate	Platform and Live Migration conditions	payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-live-migration__captured-20260821.html	text/html	https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/live-migration.html	Path embeds latest; body is evidence endpoint, not A100 profile binding.
R1GA100-WEB-013	NVIDIA AI Enterprise Infra vGPU docs	Infra 8.2 Suspend-Resume	selected_candidate	VM state save-and-restore conditions	payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-suspend-resume__captured-20260821.html	text/html	https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/suspend-resume.html	Path embeds latest; body is evidence endpoint.
R1GA100-WEB-014	NVIDIA AI Enterprise Infra vGPU docs	Infra 8.2 MIG-Backed vGPU	selected_candidate	MIG-backed vGPU migration limitations	payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-mig-backed__captured-20260821.html	text/html	https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/mig-backed-vgpu.html	Path embeds latest; body is evidence endpoint.
R1GA100-WEB-015	NVIDIA AI Enterprise Infra vGPU docs	Infra 8.2 Scheduling Policies	selected_candidate	Time-sliced vGPU scheduling and preemption boundaries	payload/html/nvidia-ai-enterprise-infra-8-2_vgpu-scheduling-policies__captured-20260821.html	text/html	https://docs.nvidia.com/ai-enterprise/release-8/latest/infra-software/vgpu/features/scheduling.html	Path embeds latest; body is evidence endpoint.
R1GA100-WEB-016	NVIDIA Virtual GPU Software User Guide	Release 20.0-20.2	selected_candidate	Fixed operation-level migration and suspend-resume instructions	payload/pdf/nvidia-vgpu-software-user-guide_release-20-0-to-20-2__captured-20260821.pdf	application/pdf	https://docs.nvidia.com/vgpu/20.0/pdf/grid-vgpu-user-guide.pdf	Versioned URL; verify cover date/release and viewer page count.
R1GA100-WEB-017	NVIDIA PyTorch Container Release Notes	20.06	selected_candidate	PyTorch A100 support and launch-stack binding	payload/html/nvidia-pytorch-container-release-notes_20-06__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/frameworks/pytorch-release-notes/rel_20-06.html	Versioned release-note path; retain raw HTML for 20.06-specific support text.
R1GA100-WEB-018	NVIDIA PyTorch Container Release Notes	20.07	selected_candidate	PyTorch component update and known-issue qualifier	payload/html/nvidia-pytorch-container-release-notes_20-07__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/frameworks/pytorch-release-notes/rel_20-07.html	Versioned release-note path; do not infer A100 support only from this page's known issue.
R1GA100-WEB-019	NVIDIA TensorFlow Container Release Notes	20.06	selected_candidate	TensorFlow launch issue and NCCL workaround	payload/html/nvidia-tensorflow-container-release-notes_20-06__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/frameworks/tensorflow-release-notes/rel_20-06.html	Versioned release-note path; retain raw HTML for A100/GA100 issue context.
R1GA100-WEB-020	NVIDIA TensorFlow Container Release Notes	20.07	selected_candidate	TensorFlow A100/CUDA 11 support and component binding	payload/html/nvidia-tensorflow-container-release-notes_20-07__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/frameworks/tensorflow-release-notes/rel_20-07.html	Versioned release-note path.
R1GA100-WEB-021	NVIDIA CUDA Toolkit Release Notes	CUDA 11.0 GA	selected_candidate	CC8.0/A100 reachability and cuBLAS component version	payload/html/nvidia-cuda-toolkit-release-notes_11-0-ga__captured-20260821.html	text/html	https://docs.nvidia.com/cuda/archive/11.0_GA/cuda-toolkit-release-notes/index.html	Fixed archive path; retain title and component table snapshot.
R1GA100-WEB-022	NVIDIA NCCL Release Notes	2.7.6	selected_candidate	CUDA 11.0 compatibility and known limitations	payload/html/nvidia-nccl-release-notes_2-7-6__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/nccl/archives/nccl_276/release-notes/rel_2-7-6.html	Versioned archive path.
R1GA100-WEB-023	NVIDIA cuDNN Release Notes	8.x in cuDNN 8.6.0 archive	selected_candidate	A100 support start and early TF32 scope	payload/html/nvidia-cudnn-release-notes_8-x-in-cudnn-8-6-0-archive__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-860/release-notes/rel_8.html	Archive container is 8.6.0 but records 8.0.x history; preserve both in manifest.
R1GA100-WEB-024	NVIDIA cuSPARSELt Guide	0.0.1	selected_candidate	CUDA 11.0, SM8.0 and structured-sparse MMA library support	payload/html/nvidia-cusparselt-guide_0-0-1__captured-20260821.html	text/html	https://docs.nvidia.com/cuda/archive/11.0/cusparselt/index.html	Archive path does not put 0.0.1 in URL; title/body must supply version.
R1GA100-WEB-025	NVIDIA TensorRT Release Notes	8.6.1 archive including 7.1.3 history	selected_candidate	TensorRT 7.1.3 preview qualifier and 8.6.1 compatibility	payload/html/nvidia-tensorrt-release-notes_8-6-1__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/tensorrt/archives/tensorrt-861/release-notes/index.html	Archive index is the actual evidence endpoint; records both launch-history and 8.6.1 contexts.
R1GA100-WEB-026	NVIDIA TensorRT Support Matrix	8.6.1	selected_candidate	CC8.0 A100/GA100 hardware-and-precision reachability	payload/html/nvidia-tensorrt-support-matrix_8-6-1__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/tensorrt/archives/tensorrt-861/support-matrix/index.html	Versioned archive path.
R1GA100-WEB-027	NVIDIA TensorRT Developer Guide	8.6.1	selected_candidate	Dynamic-shape and INT8 calibration/Q-DQ operational contract	payload/html/nvidia-tensorrt-developer-guide_8-6-1__captured-20260821.html	text/html	https://docs.nvidia.com/deeplearning/tensorrt/archives/tensorrt-861/developer-guide/index.html	Versioned archive path; page is main documentation endpoint.
