"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRESULT-CAMBRICON-MLU590-STATUS-CURRENT","SEARCH-CAMBRICON-MLU590-STATUS-CURRENT","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-RELEASE-DATE","SEARCH-CAMBRICON-MLU590-RELEASE-DATE","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-AVAILABILITY-DATE","SEARCH-CAMBRICON-MLU590-AVAILABILITY-DATE","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-ALIAS","SEARCH-CAMBRICON-MLU590-ALIAS","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","inaccessible","draft","Known versioned first-party source could not be read in full; no confirming assertion was created."
"SRESULT-CAMBRICON-MLU590-PROCESS","SEARCH-CAMBRICON-MLU590-PROCESS","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-PACKAGE","SEARCH-CAMBRICON-MLU590-PACKAGE","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-CLOCK","SEARCH-CAMBRICON-MLU590-CLOCK","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-POWER","SEARCH-CAMBRICON-MLU590-POWER","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-AI-TOPS","SEARCH-CAMBRICON-MLU590-AI-TOPS","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","SEARCH-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-COMPUTE-UNIT-COUNT","SEARCH-CAMBRICON-MLU590-COMPUTE-UNIT-COUNT","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-ACCUMULATION","SEARCH-CAMBRICON-MLU590-ACCUMULATION","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-PHYSICAL-ACCUM","SEARCH-CAMBRICON-MLU590-PHYSICAL-ACCUM","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-SPARSITY","SEARCH-CAMBRICON-MLU590-SPARSITY","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
"SRESULT-CAMBRICON-MLU590-ONCHIP-CAPACITY","SEARCH-CAMBRICON-MLU590-ONCHIP-CAPACITY","SRC-CAMBRICON-CNTOOLKIT-3-8-4-COMPONENTS","inaccessible","draft","Known versioned first-party source could not be read in full; no confirming assertion was created."
"SRESULT-CAMBRICON-MLU590-OFFCHIP-CAPACITY","SEARCH-CAMBRICON-MLU590-OFFCHIP-CAPACITY","SRC-2022-CAMBRICON-WAIC-MLU590","checked_no_support","draft","The WAIC page was checked; it does not establish this absolute specification or current status."
