"check_order","stage","check","expected"
"1","before","exclusive transaction lock","no concurrent formal writers"
"2","before","32-table aggregate","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff"
"3","before","20 table prehashes","all match write-table-inventory.csv"
"4","before","signed artifacts","8/8 binding-integrity rows match"
"5","before","9 full-row guards","all table and canonical-row hashes match"
"6","before","15 payload targets","all absent; all source hashes and sizes match"
"7","before","backup verification","20 mandatory + 3 defensive copies byte-exact; backup manifest durable"
"8","isolated","replay authorization","477 writes; 9 guards; no extra table, PK or column"
"9","isolated","posthash manifest","20 generated table hashes recorded before commit"
"10","isolated","gate validator","PASS 106160 checks"
"11","after","row counts","objects=78;relations=27;facts=678;assertions=680;requirements=863;runs=8;members=96"
"12","after","card count","40 accepted nested card files"
"13","after","20 table posthashes","all equal isolated result"
"14","after","15 payload files","all expected hashes and sizes"
"15","after","9 guards","table and row hashes unchanged"
"16","after","12 untouched formal tables","all prehashes unchanged"
"17","after","gate validator","PASS 106160 checks"
"18","after","transaction journal","35 committed targets and acceptance hashes recorded; lock released only after PASS"
