"requirement_evidence_id","requirement_id","source_id","evidence_relation","source_locator","quoted_context","reviewer","review_date","review_status","notes"
"REVID-M2NA-0001","REQ-M2NA-GAP-0001","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0002","REQ-M2NA-GAP-0002","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0003","REQ-M2NA-GAP-0003","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0004","REQ-M2NA-GAP-0004","SRC-M2NA-NVIDIA-AMPERE-WP-2020","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0005","REQ-M2NA-GAP-0007","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0006","REQ-M2NA-GAP-0008","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0007","REQ-M2NA-GAP-0009","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0008","REQ-M2NA-GAP-0010","SRC-M2NA-NVIDIA-ADA-WP-2022","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0009","REQ-M2NA-GAP-0013","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0010","REQ-M2NA-GAP-0014","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0011","REQ-M2NA-GAP-0015","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0012","REQ-M2NA-GAP-0016","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0013","REQ-M2NA-GAP-0019","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
"REVID-M2NA-0014","REQ-M2NA-GAP-0020","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0015","REQ-M2NA-GAP-0021","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0016","REQ-M2NA-GAP-0022","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Physical implementation values remain in later object packages or the implementation backlog."
"REVID-M2NA-0017","REQ-M2NA-GAP-0025","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","supports_not_applicable","Architecture/implementation boundary in the selected first-party source","","m2_arch_nvidia_amd","2026-08-12","draft","Do not promote product aggregate TOPS/TFLOPS into the architecture object."
