"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"COMP-NVIDIA-H100-CUDA-FP32","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","compute","scalar","FP32 CUDA cores","needs_resolution","SIMT non-Tensor compute path; do not relabel as an independently published vector peak. Scalar is a schema classification of per-thread CUDA ALU lanes; NVIDIA publishes SIMT path peaks and does not label an independent aggregate scalar or vector peak."
"COMP-NVIDIA-H100-CUDA-FP64","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","compute","scalar","FP64 CUDA cores","needs_resolution","Non-Tensor FP64 compute path. Scalar is a schema classification of per-thread CUDA ALU lanes; NVIDIA publishes SIMT path peaks and does not label an independent aggregate scalar or vector peak."
"COMP-NVIDIA-H100-CUDA-INT32","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","compute","scalar","INT32 CUDA cores","needs_resolution","Integer CUDA core path. Scalar is a schema classification of per-thread CUDA ALU lanes; NVIDIA publishes SIMT path peaks and does not label an independent aggregate scalar or vector peak."
"COMP-NVIDIA-H100-GPC","OBJ-NVIDIA-H100-SXM5-80GB","","control","control","GPU Processing Cluster","draft","Configuration unit; 8 enabled in H100 SXM5."
"COMP-NVIDIA-H100-HBM3","OBJ-NVIDIA-H100-SXM5-80GB","","memory","memory_level","HBM3 device memory","draft","80 GB, five stacks, 5120-bit interface; current nameplate bandwidth 3.35 TB/s."
"COMP-NVIDIA-H100-L1-SMEM","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","memory","memory_level","Combined L1 texture cache and shared memory","draft","Combined 256 KB per SM resource; shared-memory carveout changes the remaining L1 capacity."
"COMP-NVIDIA-H100-L2","OBJ-NVIDIA-H100-SXM5-80GB","","memory","memory_level","L2 cache","draft","GPU-wide L2 cache."
"COMP-NVIDIA-H100-NVDEC","OBJ-NVIDIA-H100-SXM5-80GB","","fixed_function","video_decode","NVDEC video decode engines","draft","Seven units in the H100 SXM5 configuration."
"COMP-NVIDIA-H100-NVJPG","OBJ-NVIDIA-H100-SXM5-80GB","","fixed_function","image_decode","NVJPG JPEG decode engines","draft","Seven single-core engines in the H100 SXM5 configuration."
"COMP-NVIDIA-H100-REGISTER-FILE","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","memory","memory_level","Register file","draft","Per-SM register file."
"COMP-NVIDIA-H100-SM","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-TPC","compute","control","Streaming Multiprocessor","draft","Compute organization unit; 132 enabled across H100 SXM5. Parent indicates architectural nesting, not a uniform per-TPC count."
"COMP-NVIDIA-H100-TENSOR-CORE","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","compute","matrix","Fourth-generation Tensor Cores","draft","4 per SM and 528 per H100 SXM5; draft evidence locator is NVIDIA H100 Architecture Whitepaper v1.04 p.39 Table 3."
"COMP-NVIDIA-H100-TMA","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-SM","data_movement","async_copy","Tensor Memory Accelerator","draft","Descriptor-driven asynchronous tensor copy mechanism; modeled as data movement, not an attention-specific block."
"COMP-NVIDIA-H100-TPC","OBJ-NVIDIA-H100-SXM5-80GB","COMP-NVIDIA-H100-GPC","control","control","Texture Processing Cluster","draft","Configuration unit; 66 enabled across H100 SXM5. Parent indicates architectural nesting, not a uniform per-GPC count."
