"screening_id","source_id","screening_status","rationale","full_text_read_status","screened_by","screened_date","screening_fingerprint","review_status","notes"
"SCREEN-M2-GA-A01","SRC-M2-GA-A01","redundant_covered","本轮最小集移除：Inferentia1 身份由 A02 支撑，A01 的动态软件总览没有形成修复后事实","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A01-redundant_covered-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A02","SRC-M2-GA-A02","selected","Inferentia1 身份、三类执行引擎、软件管理 SRAM、输入格式与输出精度的直接证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A02-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A03","SRC-M2-GA-A03","selected","Trainium1 身份、cFP8/TF32 支持，以及 DMA 路径内联压缩和解压缩的代际证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A03-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A04","SRC-M2-GA-A04","selected","Inferentia2 身份、cFP8/TF32 支持，以及 DMA 路径内联压缩和解压缩的代际证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A04-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A05","SRC-M2-GA-A05","selected","NCv2 四类引擎、128×128 阵列、数值语义、SBUF/PSUM、HBM↔SBUF DMA、CC-Core、NeuronLink-v2 与编译器同步","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A05-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A06","SRC-M2-GA-A06","selected","Trainium3 代际身份的版本化官方入口；实现层总量留在 deferred","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A06-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A07","SRC-M2-GA-A07","selected","NCv4 引擎与数据通路、MX/BF16 语义、PSUM、DMA、特殊能力、NeuronLink-v4 与 NKI MX 接口","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A07-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A08","SRC-M2-GA-A08","selected","Trainium3 一般可用状态的定日官方证据；工艺与系统配置不进入架构事实","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A08-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A09","SRC-M2-GA-A09","selected","Trainium4 代际身份和预计 2027 年交付状态的唯一入选一手证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A09-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
"SCREEN-M2-GA-A10","SRC-M2-GA-A10","selected","NCv4 的 SBUF 片上 SRAM、MXFP4 计算前转换为 MXFP8，以及七种结构稀疏模式的版本化证据","relevant_sections_read","m2_arch_google_aws","2026-08-12","SFP-SRC-M2-GA-A10-selected-r2","draft","按修复后 141 条 architecture_generation 事实重跑；动态来源保持 unfrozen"
