"平台","年份","资料类别","论文或资料标题","发表期刊或会议","主要作者","作者单位","DOI","来源链接","来源项目","源文件","汇总后文件","页数","文件大小_字节","SHA256","PDF解析"
"NVIDIA GPU","2025","官方白皮书与技术资料","Datasheet for NVIDIA Blackwell Architecture","4204213 OCT25","NVIDIA","NVIDIA","NVIDIA 4204213","https://nvdam.widen.net/s/wwnsxrhm2w/blackwell-datasheet-3384703","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/tmp/pdfs/nvidia-blackwell-datasheet-3384703.pdf","论文/NVIDIA_GPU/90_官方白皮书与技术资料/2025_NVIDIA_Blackwell_Datasheet_4204213_OCT25.pdf","10","1156321","ad8ed65e64974278670d8e6904c0e3020391027925e339bf28e75fdfe2d307d7","通过"
"Google TPU","2017","厂商直接架构论文","Evaluation of the Tensor Processing Unit A Deep Neural Network Accelerator for the Datacenter","IEEE Hot Chips 29 Symposium（HCS 2017）","当前清单未完整著录","Google","","https://old.hotchips.org/wp-content/uploads/hc_archives/hc29/HC29.22-Tuesday-Pub/HC29.22.70-NeuralNet2-Pub/HC29.22.730-TensorPU-Young-Google.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2017_Evaluation_TPU_HotChips29.pdf","论文/Google_TPU/01_厂商直接架构论文/2017_Evaluation_TPU_HotChips29.pdf","38","6398704","9da1ee039185d1d32d5a2b578f61ca3bb6787943475091adce821ed30d4c79f6","通过"
"Google TPU","2017","厂商直接架构论文","In-Datacenter Performance Analysis of a Tensor Processing Unit","Proceedings of the 44th Annual International Symposium on Computer Architecture","Norman P. Jouppi；Cliff Young；Nishant Patil；David Patterson；Gaurav Agrawal；Raminder Bajwa；等","Google, Inc., Mountain View, CA USA","10.1145/3079856.3080246","https://arxiv.org/pdf/1704.04760","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2017_TPUv1_In_Datacenter_Performance_Analysis.pdf","论文/Google_TPU/01_厂商直接架构论文/2017_TPUv1_In_Datacenter_Performance_Analysis.pdf","17","1316647","19793e4ae1486630ac45a12facabc0e80609dd679db8ca7a3a040f8bf0d8e0be","通过"
"Google TPU","2018","厂商直接架构论文","A Domain-Specific Architecture for Deep Neural Networks","Communications of the ACM","Norman P. Jouppi；Cliff Young；Nishant Patil；David Patterson","Google, Mountain View, CA；University of California at Berkeley, Berkeley, CA and Google, Mountain View, CA","10.1145/3154484","https://doi.org/10.1145/3154484","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2018_Domain_Specific_Architecture_DNN.pdf","论文/Google_TPU/01_厂商直接架构论文/2018_Domain_Specific_Architecture_DNN.pdf","10","12553943","19ab5cbb1a654ac36ce8188c0acb6797b0ac61a740c7b2b8321c624b566c4e77","通过"
"Google TPU","2018","厂商直接架构论文","Motivation for and Evaluation of the First Tensor Processing Unit","IEEE Micro","Norman Jouppi；Cliff Young；Nishant Patil；David Patterson","Google","10.1109/MM.2018.032271057","https://doi.org/10.1109/MM.2018.032271057","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2018_Motivation_Evaluation_First_TPU.pdf","论文/Google_TPU/01_厂商直接架构论文/2018_Motivation_Evaluation_First_TPU.pdf","10","2347849","53eefe583006c0d4e9f46c7e948ff2123a9d552206d80d2829749655595264e8","通过"
"Google TPU","2020","厂商直接架构论文","Google Training Chips Revealed TPUv2 and TPUv3","2020 IEEE Hot Chips 32 Symposium (HCS)","Thomas Norrie；Nishant Patil；Doe Hyun Yoon；George Kurian；Sheng Li；James Laudon；等","Google","10.1109/HCS49909.2020.9220735","https://hc32.hotchips.org/assets/program/conference/day2/HotChips2020_ML_Training_Google_Norrie_Patil.v01.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2020_Google_Training_Chips_TPUv2_TPUv3_HotChips32.pdf","论文/Google_TPU/01_厂商直接架构论文/2020_Google_Training_Chips_TPUv2_TPUv3_HotChips32.pdf","70","6341747","c235d72fd45122ded3d8f60a6cd7b33b3d33d1ecac19bd9ca4b15f3fff5e1c53","通过"
"Google TPU","2020","厂商直接架构论文","A Domain-Specific Supercomputer for Training Deep Neural Networks","Communications of the ACM","Norman P. Jouppi；Doe Hyun Yoon；George Kurian；Sheng Li；Nishant Patil；James Laudon；等","Google, Mountain View, CA；Google, Mountain View, CA and University of California, Berkeley, CA","10.1145/3360307","https://gwern.net/doc/ai/scaling/hardware/2020-jouppi.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2020_TPUv2_TPUv3_Domain_Specific_Supercomputer.pdf","论文/Google_TPU/01_厂商直接架构论文/2020_TPUv2_TPUv3_Domain_Specific_Supercomputer.pdf","12","424008","3d64c6b36ec5897eef3ef3d5234e9c086d99ecf8007307aafde416ae1d40e887","通过"
"Google TPU","2021","厂商直接架构论文","The Design Process for Google's Training Chips: TPUv2 and TPUv3","IEEE Micro","Thomas Norrie；Nishant Patil；Doe Hyun Yoon；George Kurian；Sheng Li；James Laudon；等","Google, Mountain View, CA, USA；Google, Mountain View, UC Berkeley Berkeley, CA, CA, USAUSA","10.1109/MM.2021.3058217","https://doi.org/10.1109/MM.2021.3058217","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2021_Design_Process_TPUv2_TPUv3.pdf","论文/Google_TPU/01_厂商直接架构论文/2021_Design_Process_TPUv2_TPUv3.pdf","8","1659766","8c612f1ff04b9affd2a6fda2a3054e4c41291a91405c087fe4b8a90b2905d02a","通过"
"Google TPU","2021","厂商直接架构论文","Ten Lessons From Three Generations Shaped Google TPUv4i","2021 ACM/IEEE 48th Annual International Symposium on Computer Architecture (ISCA)","Norman P. Jouppi；Doe Hyun Yoon；Matthew Ashcraft；Mark Gottscho；Thomas B. Jablin；George Kurian；等","Google","10.1109/ISCA52012.2021.00010","https://markgottscho.com/cv/papers/2021_NJouppi_ISCA.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2021_TPUv4i_Ten_Lessons_ISCA.pdf","论文/Google_TPU/01_厂商直接架构论文/2021_TPUv4i_Ten_Lessons_ISCA.pdf","14","3608891","988e2675c8e388829e58722a9c7a74e91e40a5b2ce226120c148eefb20e4cc87","通过"
"Google TPU","2023","厂商直接架构论文","A Machine Learning Supercomputer with an Optically Reconfigurable Interconnect and Embeddings Support","2023 IEEE Hot Chips 35 Symposium (HCS)","Norman P. Jouppi；Andy Swing","Google","10.1109/HCS59251.2023.10254691","https://hc2023.hotchips.org/assets/program/conference/day2/ML%20training/HC2023.Session5.ML_Training.Google.Norm_Jouppi.Andy_Swing.Final_2023-08-25.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/Google_TPU/01_厂商直接架构论文/2023_TPUv4_HotChips35.pdf","论文/Google_TPU/01_厂商直接架构论文/2023_TPUv4_HotChips35.pdf","24","6070162","b7440a49514be78101f0eaac1062ef784b261b42d761daf77b2a2b09022651df","通过"
