"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"COMPLETE-CAMBRICON-MLU590-IDENTITY","OBJ-CAMBRICON-MLU590-CHIP","identity","partial","2026-08-12","mlu590_remediation","draft","思元590, vendor wording, the 2022 historical status and MLUarch05 are supported; the MLU590 alias, release date and current availability remain unresolved."
"COMPLETE-CAMBRICON-MLU590-PHYSICAL","OBJ-CAMBRICON-MLU590-CHIP","physical","missing_public_data","2026-08-12","mlu590_remediation","draft","No accepted first-party process, package, clock or chip-power value."
"COMPLETE-CAMBRICON-MLU590-COMPUTE","OBJ-CAMBRICON-MLU590-CHIP","compute","missing_public_data","2026-08-12","mlu590_remediation","draft","No accepted whole-chip matrix, vector, scalar or total peak with conditions."
"COMPLETE-CAMBRICON-MLU590-NUMERICS","OBJ-CAMBRICON-MLU590-CHIP","numerics","missing_public_data","2026-08-12","mlu590_remediation","draft","No accepted MLU590 hardware input, product, accumulation or output path."
"COMPLETE-CAMBRICON-MLU590-MEMORY","OBJ-CAMBRICON-MLU590-CHIP","memory","needs_review","2026-08-12","mlu590_remediation","draft","CNToolkit may contain raw on-chip target text but is inaccessible; no capacity or bandwidth fact is accepted."
"COMPLETE-CAMBRICON-MLU590-INTERCONNECT","OBJ-CAMBRICON-MLU590-CHIP","interconnect","missing_public_data","2026-08-12","mlu590_remediation","draft","No accepted protocol, directioned bandwidth or topology."
"COMPLETE-CAMBRICON-MLU590-SPECIAL-ENGINES","OBJ-CAMBRICON-MLU590-CHIP","special_engines","missing_public_data","2026-08-12","mlu590_remediation","draft","No dedicated TopK, MoE routing, dispatch or Attention hardware evidence."
"COMPLETE-CAMBRICON-MLU590-SOFTWARE","OBJ-CAMBRICON-MLU590-CHIP","software","partial","2026-08-12","mlu590_remediation","draft","A fixed MLU-OPS commit supports an MLU590 custom-operator build target; CNToolkit and CNNL remain inaccessible."
"COMPLETE-CAMBRICON-MLU590-EVIDENCE","OBJ-CAMBRICON-MLU590-CHIP","evidence","partial","2026-08-12","mlu590_remediation","draft","WAIC is accessible but dynamic and unfrozen; the two versioned SDK pages return remote HTTP 401; MLU-OPS is fixed to a commit."
"COMPLETE-NVIDIA-H100-IDENTITY","OBJ-NVIDIA-H100-SXM5-80GB","identity","partial","2026-08-12","root_postmerge_remediation","reviewed","产品、SKU、架构关系已确认；精确首次可用日期和当前供货状态仍待核验。"
"COMPLETE-NVIDIA-H100-PHYSICAL","OBJ-NVIDIA-H100-SXM5-80GB","physical","partial","2026-08-12","root_postmerge_remediation","reviewed","模组与 GH100 裸片已分对象；散热和封装细节仍不完整。"
"COMPLETE-NVIDIA-H100-COMPUTE","OBJ-NVIDIA-H100-SXM5-80GB","compute","partial","2026-08-12","root_postmerge_remediation","reviewed","矩阵和非 Tensor 峰值已覆盖；独立向量与标量总峰值未找到。"
"COMPLETE-NVIDIA-H100-NUMERICS","OBJ-NVIDIA-H100-SXM5-80GB","numerics","partial","2026-08-12","root_postmerge_remediation","reviewed","主要精度路径可确认；部分累加和内部位宽未公开。"
"COMPLETE-NVIDIA-H100-MEMORY","OBJ-NVIDIA-H100-SXM5-80GB","memory","partial","2026-08-12","root_postmerge_remediation","reviewed","容量和 HBM 名义带宽已覆盖；片上各级带宽与延迟缺失。"
"COMPLETE-NVIDIA-H100-INTERCONNECT","OBJ-NVIDIA-H100-SXM5-80GB","interconnect","partial","2026-08-12","root_postmerge_remediation","reviewed","端点铭牌带宽已覆盖；有效载荷、持续带宽和延迟缺失。"
"COMPLETE-NVIDIA-H100-SPECIAL_ENGINES","OBJ-NVIDIA-H100-SXM5-80GB","special_engines","partial","2026-08-12","root_postmerge_remediation","reviewed","TMA、DSM、DPX 等有一手证据；MoE/Top-K 专用硬件未找到。"
"COMPLETE-NVIDIA-H100-SOFTWARE","OBJ-NVIDIA-H100-SXM5-80GB","software","partial","2026-08-12","root_postmerge_remediation","reviewed","主要编程机制可说明；运行时与算子库版本清单不完整。"
"COMPLETE-NVIDIA-H100-EVIDENCE","OBJ-NVIDIA-H100-SXM5-80GB","evidence","complete","2026-08-12","root_postmerge_remediation","reviewed","三份核心来源通过反向移除；覆盖冗余的 Tuning Guide 固定副本仍保留。"
