"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-AWS-TRN2-CHIP-BF16-SPARSE-PUB","","","","","PP-AWS-TRN2-CHIP-TENSOR-BF16","","","FIELD-COMP-THROUGHPUT","","2563000000000000","FLOP/s","COND-AWS-TRN2-CHIP-BF16-SPARSE-PUB","direct_statement","source_with_caveat","conflict_member","","","medium","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-CHIP-BF16-SPARSE-PUB","needs_resolution","S1 当前稀疏峰值；仅与每核乘 8 的聚合范围候选存在 CG-AWS-TRN2-007-CHIP-BF16 冲突，S10 历史伪冲突已移除"
"FACT-AWS-TRN2-CHIP-FP16-SPARSE-PUB","","","","","PP-AWS-TRN2-CHIP-TENSOR-FP16","","","FIELD-COMP-THROUGHPUT","","2563000000000000","FLOP/s","COND-AWS-TRN2-CHIP-FP16-SPARSE-PUB","direct_statement","source_with_caveat","conflict_member","","","medium","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-CHIP-FP16-SPARSE-PUB","needs_resolution","S1 当前稀疏峰值；仅与每核乘 8 的聚合范围候选存在 CG-AWS-TRN2-007-CHIP-FP16 冲突，S10 历史伪冲突已移除"
"FACT-AWS-TRN2-CHIP-TF32-SPARSE-PUB","","","","","PP-AWS-TRN2-CHIP-TENSOR-TF32","","","FIELD-COMP-THROUGHPUT","","2563000000000000","FLOP/s","COND-AWS-TRN2-CHIP-TF32-SPARSE-PUB","direct_statement","source_with_caveat","conflict_member","","","medium","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-CHIP-TF32-SPARSE-PUB","needs_resolution","S1 当前稀疏峰值；仅与每核乘 8 的聚合范围候选存在 CG-AWS-TRN2-007-CHIP-TF32 冲突，S10 历史伪冲突已移除"
"FACT-AWS-TRN2-3XL-CHIP-QTY","","","","OREL-AWS-TRN2-3XLARGE-CONTAINS-TRAINIUM2","","","","FIELD-REL-QUANTITY","","1","count","COND-NONE","direct_statement","single_source","provisional","","","high","S07 Product details 表直接列出 trn2.3xlarge 的 Trainium2 chips 为 1","FFP-FACT-AWS-TRN2-3XL-CHIP-QTY-S07-20260813","reviewed","对象组成数量；唯一断言改由 S07 Product details 表支持"
"FACT-AWS-TRN2-3XL-EFA-RATE","","","LINK-AWS-TRN2-3XL-EFAV3","","","","","FIELD-INT-INJECTION-BW","","25000000000","byte/s","COND-AWS-TRN2-EFA-INSTANCE-INJECTION","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-3XL-EFA-RATE-INJECTION-BYTEPS-20260813","reviewed","S07 Product details 表按实例给出的 Network bandwidth；原始 Tbps 保留在断言，规范化为每实例注入 byte/s，未假设物理链路数"
"FACT-AWS-TRN2-48XL-EFA-RATE","","","LINK-AWS-TRN2-48XL-EFAV3","","","","","FIELD-INT-INJECTION-BW","","400000000000","byte/s","COND-AWS-TRN2-EFA-INSTANCE-INJECTION","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-48XL-EFA-RATE-INJECTION-BYTEPS-20260813","reviewed","S07 Product details 表按实例给出的 Network bandwidth；原始 Tbps 保留在断言，规范化为每实例注入 byte/s，未假设物理链路数"
"FACT-AWS-TRN2-TRN2U-48XL-EFA-RATE","","","LINK-AWS-TRN2U-48XL-EFAV3","","","","","FIELD-INT-INJECTION-BW","","400000000000","byte/s","COND-AWS-TRN2-EFA-INSTANCE-INJECTION","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-TRN2U-48XL-EFA-RATE-INJECTION-BYTEPS-20260813","reviewed","S07 Product details 表按实例给出的 Network bandwidth；原始 Tbps 保留在断言，规范化为每实例注入 byte/s，未假设物理链路数"
"FACT-AWS-TRN2-ULTRA64-EFA-12P8","","","LINK-AWS-TRN2-ULTRA64-EFAV3","","","","","FIELD-INT-AGGREGATE-BW","","1600000000000","byte/s","COND-AWS-TRN2-BW-SYSTEM","direct_statement","single_source","provisional","","","high","S07 Features 与 Benefits 直接声明 Trn2 UltraServers deliver 12.8 Tbps of EFAv3 networking bandwidth","FFP-FACT-AWS-TRN2-ULTRA64-EFA-12P8-AGGREGATE-BYTEPS-20260813","reviewed","UltraServer 系统级 EFAv3 聚合带宽；原始 12.8 Tbps 规范化为 1.6e12 byte/s；S06 的 3.2 Tbps 属于实例列，不构成系统冲突"
"FACT-AWS-TRN2-48XL-BF16-SPARSE","","","","","PP-AWS-TRN2-48XL-BF16","","","FIELD-COMP-THROUGHPUT","","41000000000000000","FLOP/s","COND-AWS-TRN2-48XL-BF16-SPARSE","direct_statement","single_source","provisional","","","high","S06 当前版本实例规格表的一手直接断言；S10 无支持历史行已从正式候选中删除","FFP-FACT-AWS-TRN2-48XL-BF16-SPARSE","reviewed","S06 当前实例结构化稀疏峰值；不存在受支持的同对象同格式 S10 历史冲突"
"FACT-AWS-TRN2-48XL-FP16-SPARSE","","","","","PP-AWS-TRN2-48XL-FP16","","","FIELD-COMP-THROUGHPUT","","41000000000000000","FLOP/s","COND-AWS-TRN2-48XL-FP16-SPARSE","direct_statement","single_source","provisional","","","high","S06 当前版本实例规格表的一手直接断言；S10 无支持历史行已从正式候选中删除","FFP-FACT-AWS-TRN2-48XL-FP16-SPARSE","reviewed","S06 当前实例结构化稀疏峰值；不存在受支持的同对象同格式 S10 历史冲突"
