"sequence","operation_id","operation_type","formal_target","staging_source","action","precondition","verification","rollback_or_backup","status"
"00","OP-113-V4-000","snapshot_backup","审计/子代理交接/r1_source_pool_113_staging/promotion-records/<promotion_id>/{promotion-record.json,backup-manifest.json,backups/}; existing targets: 清单/论文PDF清单.csv；清单/汇总统计.json；scripts/collect_references.py；scripts/validation/Test-SourcePool.ps1；new target: 清单/资料池受控输入/","n/a","Before any copy, create promotion-records/<promotion_id>/backups/. Write backup-manifest.json with schema_version=source-pool-113-backup-manifest-v1, promotion_id, created_at_utc, mainline_root_absolute, mainline_root_project_relative, backup_root_absolute, backup_root_project_relative, controlled_input_directory_existed_before, and one target entry per existing file containing target_project_relative_path, target_absolute_path, target_sha256, backup_project_relative_path, backup_absolute_path and backup_sha256. Then write promotion-record.json with schema_version=source-pool-113-promotion-record-v1, promotion_id, created_at_utc, backup_manifest_absolute_path, backup_manifest_project_relative_path, backup_manifest_sha256, controlled_input_directory_existed_before and step results. The backup_manifest_sha256 is computed from the completed backup-manifest.json and is recorded in the separate promotion record, avoiding a self-hash cycle.","All four existing formal targets must equal their byte-level baseline hashes before any write: 清单/论文PDF清单.csv=c8c43df658daa1671e32b5389e29a33cf5179c269ae56f29d9e95404cdb38b27; 清单/汇总统计.json=eee940c5b1fdaa871fe0f2ea734216136471db28a68f43ff10cfdc2602b41db7; scripts/collect_references.py=4946da30c5fd9540f51298fd5aac839d9573c96cba78ac2b3309096a21a7b06f; scripts/validation/Test-SourcePool.ps1=44756009c8791d44a6164aa55b9360cde2a5aa1275b2889b3b5c720e1db9736f. 清单/资料池受控输入/ must be absent; record false explicitly. Any mismatch or pre-existing directory fails closed.","Promotion record contains the actual absolute and project-relative backup roots, four original and four backup hashes, controlled_input_directory_existed_before=false, and a backup_manifest_sha256 that matches backup-manifest.json. Confirm every copied backup byte-equals its original before sequence 01.","No formal target is replaced until this record is complete. On later rollback restore the four files from the recorded backup paths; retain the promotion record as evidence and remove 清单/资料池受控输入/ only because the record proves it was absent before promotion.","ready_for_formal_promotion"
"01","OP-113-V4-001","copy_controlled_input","清单/资料池受控输入/frozen-legacy-pdf-manifest.csv","审计/子代理交接/r1_source_pool_113_staging/formal_payload/清单/资料池受控输入/frozen-legacy-pdf-manifest.csv","Copy the frozen 111-row baseline first, preserving bytes.","Sequence 00 is complete; its promotion record shows controlled_input_directory_existed_before=false.","Formal target SHA-256=c8c43df658daa1671e32b5389e29a33cf5179c269ae56f29d9e95404cdb38b27; CSV has 111 rows, 112 source occurrences, 111 unique hashes, one duplicate, 313921821 bytes and 2210 pages.","If later sequences fail, retain the backup/promotion record and remove this new directory only under the sequence-00 absence proof.","ready_for_formal_promotion"
"02","OP-113-V4-002","copy_controlled_input","清单/资料池受控输入/source-pool-input-ledger.json","审计/子代理交接/r1_source_pool_113_staging/formal_payload/清单/资料池受控输入/source-pool-input-ledger.json","Copy the ledger second, in the same stable directory as the frozen baseline.","Sequence 01 target hash matches the approved frozen file.","Formal target SHA-256=08994b2402f6f1bdcfceecb2504b50dd317aa91e6d2b7c947f974ffdbc7e8812; its frozen path is the same-directory relative name frozen-legacy-pdf-manifest.csv.","If later sequences fail, retain the backup/promotion record and remove this new directory only under the sequence-00 absence proof.","ready_for_formal_promotion"
"03","OP-113-V4-003","replace_collector","scripts/collect_references.py","审计/子代理交接/r1_source_pool_113_staging/collect_references.py","Copy exactly the reviewed candidate collector after both stable inputs are in place. Its installed default lookup is 清单/资料池受控输入/source-pool-input-ledger.json under the mainline root.","Sequences 01–02 passed; staging candidate collector SHA-256 is exactly 2a980efd45bc9846029003ca38ece6823f75f9d00d6fcbbe0137638e4c2aefcb.","Postwrite formal scripts/collect_references.py SHA-256 is exactly 2a980efd45bc9846029003ca38ece6823f75f9d00d6fcbbe0137638e4c2aefcb. The collector only permits the PDF manifest and summary output paths.","Restore scripts/collect_references.py from the sequence-00 recorded backup.","ready_for_formal_promotion"
"04","OP-113-V4-004","independent_preview","an output root fully separate from the mainline tree","installed scripts/collect_references.py plus installed controlled inputs","Run preview with an output root that is neither the mainline, a child of it, nor an ancestor containing it. Compare both rendered files byte-for-byte with this staging candidate.","Sequence 03 formal collector hash equals 2a980efd45bc9846029003ca38ece6823f75f9d00d6fcbbe0137638e4c2aefcb; formal manifest and summary still hold their sequence-00 legacy hashes.","Preview manifest SHA-256=4df7c2212c827e34d3483f6021d7af5bf854f374d0000b42bc5d88d57316c1ab; summary SHA-256=994a4950577914114e66f195b3900f2d9f9bd1baf50ca62cb7d5b9bce1a4785e; both cmp equal staging candidates; pdf_copy_operations=0.","No formal output was written. Retain the preview log in the promotion record and discard only the isolated preview root when the record is complete.","ready_for_formal_promotion"
"05","OP-113-V4-005","apply_two_outputs","清单/论文PDF清单.csv；清单/汇总统计.json","generated by installed collector from the formal stable ledger","Run apply with --confirm-ledger-sha256 08994b2402f6f1bdcfceecb2504b50dd317aa91e6d2b7c947f974ffdbc7e8812. The collector may write exactly these two files.","Sequence 04 preview comparison passed and the installed ledger hash is exact.","Manifest and summary postwrite hashes are respectively 4df7c2212c827e34d3483f6021d7af5bf854f374d0000b42bc5d88d57316c1ab and 994a4950577914114e66f195b3900f2d9f9bd1baf50ca62cb7d5b9bce1a4785e. Values are 113 rows, 114 source occurrences, 113 unique PDFs, one duplicate, 315363681 bytes, 2214 pages and frozen inventory 112/101.","Restore the manifest and summary from their sequence-00 recorded backups.","ready_for_formal_promotion"
"06","OP-113-V4-006","post_apply_preview","a second output root fully separate from the mainline tree","installed collector after first apply","Run preview after sequence 05, still with an isolated output root. Compare the two preview files with the now-applied formal files and with the staging candidates.","Sequence 05 output hashes equal their approved expected values; collector hash remains 2a980efd45bc9846029003ca38ece6823f75f9d00d6fcbbe0137638e4c2aefcb.","Both preview files byte-equal the applied formal outputs and staging candidates: manifest 4df7c2212c827e34d3483f6021d7af5bf854f374d0000b42bc5d88d57316c1ab; summary 994a4950577914114e66f195b3900f2d9f9bd1baf50ca62cb7d5b9bce1a4785e; pdf_copy_operations=0.","No formal output was written. Retain the preview log in the promotion record and discard only the isolated preview root when the record is complete.","ready_for_formal_promotion"
"07","OP-113-V4-007","idempotent_second_apply_and_snapshot","清单/论文PDF清单.csv；清单/汇总统计.json; promotion-records/<promotion_id>/{pre-second-apply-noncontrolled-content.sha256,post-second-apply-noncontrolled-content.sha256}","installed collector and installed stable ledger","Before the second apply, create a sorted SHA-256-plus-project-relative-path snapshot of every regular file under the formal mainline except the two controlled outputs and the two snapshot files themselves. Run a second apply with the same exact ledger confirmation. Then create the post snapshot and compare it byte-for-byte with the pre snapshot.","Sequence 06 passed. First-apply output hashes equal the two expected values; the promotion record and all backup files already exist before the pre snapshot.","Second apply returns success; manifest and summary remain byte-identical to their sequence-05 values and hashes. pre-second-apply-noncontrolled-content.sha256 and post-second-apply-noncontrolled-content.sha256 are byte-identical, proving zero content diff for every noncontrolled regular file. Record the two snapshot hashes and cmp result in promotion-record.json.","If either controlled output changes unexpectedly or noncontrolled snapshot diff is nonzero, stop and restore all four pre-existing targets from sequence-00 backups; remove the controlled-input directory only under the recorded absence proof.","ready_for_formal_promotion"
"08","OP-113-V4-008","replace_validator","scripts/validation/Test-SourcePool.ps1","审计/子代理交接/r1_source_pool_113_staging/Test-SourcePool.ps1","Copy exactly the reviewed candidate validator only after the collector has passed the post-apply preview and idempotent second apply.","Sequence 07 passed; staging candidate validator SHA-256 is exactly c2dc1319f39b5eaaf353274113a5c08b9ca5df3a33636f50517ecbbe3265fbf0.","Postwrite formal scripts/validation/Test-SourcePool.ps1 SHA-256 is exactly c2dc1319f39b5eaaf353274113a5c08b9ca5df3a33636f50517ecbbe3265fbf0. It pins the stable ledger and frozen baseline plus 113 PDFs, 114-1=113, frozen 112/101 inventory, AMD=6, AMD whitepaper=4, product brochures=2, and the unchanged web/pending baseline.","Restore scripts/validation/Test-SourcePool.ps1 from the sequence-00 recorded backup.","ready_for_formal_promotion"
"09","OP-113-V4-009","windows_gate","scripts/validation/Test-SourcePool.ps1","n/a","On Windows, run the source-pool hard gate against the formal mainline root.","Sequences 00–08 completed; Windows PowerShell and pdfinfo.exe are available; postwrite validator hash equals c2dc1319f39b5eaaf353274113a5c08b9ca5df3a33636f50517ecbbe3265fbf0.","Test-SourcePool.ps1 returns PASS and its transcript is linked from promotion-record.json.","If it fails, stop and restore the four pre-existing targets from their recorded backups; remove controlled inputs only under the absence proof.","windows_pending"
"10","OP-113-V4-010","windows_gate","scripts/validation/Test-ChipScope.ps1","n/a","Run the chip-scope hard gate after the source-pool gate passes.","Sequence 09 passed.","Test-ChipScope.ps1 returns PASS and its transcript is linked from promotion-record.json.","If it fails, stop and use the sequence-00 recorded backups.","windows_pending"
"11","OP-113-V4-011","windows_gate","scripts/validation/Validate-ResearchData.ps1","n/a","Run Validate-ResearchData.ps1 -SubjectContractMode gate after the two preceding gates pass.","Sequences 09–10 passed.","Validate-ResearchData.ps1 -SubjectContractMode gate returns PASS and its transcript is linked from promotion-record.json.","If it fails, stop and use the sequence-00 recorded backups.","windows_pending"
