"source_family_id","canonical_title","family_kind","publisher_or_organization","persistent_work_id","review_status","notes"
"SFAM-AWS-TRN2-S01","AWS Neuron Trainium2 Architecture","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S02","AWS Neuron Trainium2 Architecture Guide for NKI","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S03","AWS Neuron NeuronCore-v3 Architecture","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S04","AWS Neuron nki.isa.nc_matmul","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S05","AWS Neuron Logical NeuronCore configuration","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S06","AWS Neuron Amazon EC2 Trn2 Architecture","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S07","AWS EC2 Trn2 product page","dynamic_page_history","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S08","AWS Neuron NKI Collectives index","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S09","AWS Trn2 general availability announcement","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S10","AWS News Blog Trn2 launch","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S11","Amazon Press Center Trainium2 announcement","publication_versions","Amazon","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S12","AWS Neuron 2.31.0 announcement","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S13","AWS Neuron RMSNorm Router Top-K TKG","dynamic_page_history","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S14","AWS Neuron 2.21 announcement","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S15","AWS EC2 generic accelerated instance specification table","dynamic_page_history","AWS","","draft","Trainium2 试填来源家族候选"
