source_id,found_raw_files,pdf_page_count,normalized_path,normalized_chars,status,warnings
S01,原文/PDF/S01_hardware_specialization_ai_ml.pdf,10,原文/规范化文本/S01_hardware_specialization_ai_ml.txt,54463,ok,
S02,原文/PDF/S02_coltrain_thesis.pdf,115,原文/规范化文本/S02_coltrain_thesis.txt,197390,ok,
S03,原文/PDF/S03_dnn_accelerator_survey.pdf,11,原文/规范化文本/S03_dnn_accelerator_survey.txt,59849,ok,
S04,原文/网页快照/S04_hardware_acceleration.html,,原文/规范化文本/S04_hardware_acceleration.txt,564157,ok,
S05,原文/网页快照/S05_dnntrain_landing.html|原文/PDF/S05_dnntrain_printable.pdf,251,原文/规范化文本/S05_dnntrain_printable.txt,162067,ok,
S06,原文/网页快照/S06_numerical_encoding.html,,原文/规范化文本/S06_numerical_encoding.txt,16693,ok,
S07,原文/网页快照/S07_mit_metadata.html|原文/PDF/S07_ml_accelerator_survey.pdf,9,原文/规范化文本/S07_ml_accelerator_survey.txt,71835,ok,
S08,原文/PDF/S08_irds_applications_benchmarking.pdf,51,原文/规范化文本/S08_irds_applications_benchmarking.txt,148656,ok,
S09,原文/网页快照/S09_deployment_architecture_survey.webview.txt,,原文/规范化文本/S09_deployment_architecture_survey.txt,34798,ok,
S10,原文/PDF/S10_deep_learning_computer_architects.pdf,125,原文/规范化文本/S10_deep_learning_computer_architects.txt,282723,ok,
S11,原文/网页快照/S11_arxiv_metadata.html|原文/PDF/S11_llm_inference_hardware_v3.pdf,19,原文/规范化文本/S11_llm_inference_hardware_v3.txt,73713,ok,
S12,原文/网页快照/S12_accelerator_benchmarking.html,,原文/规范化文本/S12_accelerator_benchmarking.txt,28877,ok,
S13,原文/网页快照/S13_gemma_deepdive.html,,原文/规范化文本/S13_gemma_deepdive.txt,15718,ok,
S14,原文/网页快照/S14_tpu8t_tpu8i.html,,原文/规范化文本/S14_tpu8t_tpu8i.txt,22029,ok,
S15,原文/网页快照/S15_aws_inference_challenges.html|原文/PDF/S15_aws_inference_guidance.pdf,36,原文/规范化文本/S15_aws_inference_guidance.txt,71532,ok,
S16,原文/网页快照/S16_nvidia_copa_metadata.html|原文/PDF/S16_copa_gpu.pdf,13,原文/规范化文本/S16_copa_gpu.txt,74402,ok,
S17,原文/网页快照/S17_arxiv_metadata.html|原文/PDF/S17_spring_v2.pdf,14,原文/规范化文本/S17_spring_v2.txt,78055,ok,
S18,原文/网页快照/S18_tpuv1_metadata.html|原文/PDF/S18_tpuv1.pdf,17,原文/规范化文本/S18_tpuv1.txt,80064,ok,
S19,原文/PDF/S19_efficient_dnn_processing_v2.pdf,32,原文/规范化文本/S19_efficient_dnn_processing_v2.txt,174733,ok,
