"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"CMP-M2GA-GV3-TC","OBJ-GOOGLE-TPU-V3-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV3-MXU","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV3-VPU","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV3-SCALAR","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV3-HBM","OBJ-GOOGLE-TPU-V3-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV3-VMEM","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV3-SPARSE","OBJ-GOOGLE-TPU-V3-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-GV4-TC","OBJ-GOOGLE-TPU-V4-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV4-MXU","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV4-VPU","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV4-SCALAR","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV4-HBM","OBJ-GOOGLE-TPU-V4-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV4-VMEM","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV4-SPARSE","OBJ-GOOGLE-TPU-V4-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-GV5E-TC","OBJ-GOOGLE-TPU-V5E-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV5E-MXU","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV5E-VPU","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV5E-SCALAR","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV5E-HBM","OBJ-GOOGLE-TPU-V5E-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV5E-VMEM","OBJ-GOOGLE-TPU-V5E-ARCH","CMP-M2GA-GV5E-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV5P-TC","OBJ-GOOGLE-TPU-V5P-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV5P-MXU","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV5P-VPU","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV5P-SCALAR","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV5P-HBM","OBJ-GOOGLE-TPU-V5P-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
"CMP-M2GA-GV5P-VMEM","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-TC","memory","memory_level","Vector memory / on-chip SRAM","draft","软件或编译器管理"
"CMP-M2GA-GV5P-SPARSE","OBJ-GOOGLE-TPU-V5P-ARCH","","special_function","special_function","SparseCore","draft",""
"CMP-M2GA-GV6E-TC","OBJ-GOOGLE-TPU-V6E-ARCH","","compute","other_fixed_function","TensorCore","draft","执行组织，不表示芯片核心数量"
"CMP-M2GA-GV6E-MXU","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","compute","matrix","Matrix Multiply Unit (MXU)","draft",""
"CMP-M2GA-GV6E-VPU","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","compute","vector","Vector Processing Unit (VPU)","draft",""
"CMP-M2GA-GV6E-SCALAR","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-TC","compute","scalar","Scalar/control path","draft",""
"CMP-M2GA-GV6E-HBM","OBJ-GOOGLE-TPU-V6E-ARCH","","memory","memory_level","Device HBM","draft","只记录层级存在性"
