"source_id","source_family_id","title","author_or_organization","source_type","publication_date","version_label","language","source_authority","source_status","content_fingerprint","last_verified_date","review_status","notes"
"SRC-M2-GA-A01","SFAM-M2-GA-A01","Inferentia Architecture","AWS Neuron","developer_documentation","","Neuron latest; cutoff 2026-08-12","en","first_party","dynamic_unfrozen","web-cutoff-2026-08-12:SRC-M2-GA-A01","2026-08-12","draft","实例中芯片数量不写入架构卡"
"SRC-M2-GA-A02","SFAM-M2-GA-A02","NeuronCore-v1 Architecture","AWS Neuron","developer_documentation","","Neuron 2.9.1","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A02","2026-08-12","draft","版本化入口"
"SRC-M2-GA-A03","SFAM-M2-GA-A03","Trainium Architecture","AWS Neuron","developer_documentation","","Neuron 2.26.1","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A03","2026-08-12","draft","EC2 Trn1 配置排除"
"SRC-M2-GA-A04","SFAM-M2-GA-A04","Inferentia2 Architecture","AWS Neuron","developer_documentation","","Neuron 2.29.1","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A04","2026-08-12","draft","EC2 Inf2 配置排除"
"SRC-M2-GA-A05","SFAM-M2-GA-A05","Trainium/Inferentia2 Architecture Guide for NKI","AWS Neuron","developer_documentation","","Neuron 2.29.1","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A05","2026-08-12","draft","只复用共同 NCv2 事实，不把两款芯片身份混为一对象"
"SRC-M2-GA-A06","SFAM-M2-GA-A06","Trainium3 Architecture","AWS Neuron","developer_documentation","","Neuron 2.28.1/2.29 family","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A06","2026-08-12","draft","与 NKI 指南的 CC-Core=20、HBM=4.7 TB/s 有冲突，暂按产品架构页保留 16/4.9"
"SRC-M2-GA-A07","SFAM-M2-GA-A07","Trainium3 Architecture Guide for NKI","AWS Neuron","developer_documentation","","Neuron latest; cutoff 2026-08-12","en","first_party","dynamic_unfrozen","web-cutoff-2026-08-12:SRC-M2-GA-A07","2026-08-12","draft","当前页称 4 HBM stacks、128 DMA、20 CC-Cores、4.7 TB/s"
"SRC-M2-GA-A08","SFAM-M2-GA-A08","Announcing Amazon EC2 Trn3 UltraServers","AWS","press_release","2025-12-02","2025-12-02","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A08","2026-08-12","draft","新闻稿只作为芯片身份/状态与物理实现补充"
"SRC-M2-GA-A09","SFAM-M2-GA-A09","Amazon.com Announces Fourth Quarter Results","Amazon Investor Relations","press_release","2026-02-05","2026-02-05","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A09","2026-08-12","draft","属于前瞻性陈述，所有事实标记来源限定与 pending availability"
"SRC-M2-GA-A10","SFAM-M2-GA-A10","NeuronCore-v4 Architecture","AWS Neuron","developer_documentation","","Neuron 2.30.0","en","first_party","current","web-cutoff-2026-08-12:SRC-M2-GA-A10","2026-08-12","draft","Neuron 2.30.0 在 2026-05-26 发布，早于截止日"
"SRC-M2-GA-G01","SFAM-M2-GA-G01","Google Training Supercomputers from TPU v2 to Ironwood","Google","architecture_paper","","2026","en","first_party","current","sha256:d1e5d21b9959afefe574a6de839f52c094b3b7d3d481c89cd48b2e2737214465","2026-08-12","draft","13 页；表 1 与第 3—7 页已文本抽取并做页面核对"
"SRC-M2-GA-G02","SFAM-M2-GA-G02","A Domain-Specific Supercomputer for Training Deep Neural Networks","Google","architecture_paper","","2020","en","first_party","current","sha256:3d64c6b36ec5897eef3ef3d5234e9c086d99ecf8007307aafde416ae1d40e887","2026-08-12","draft","12 页"
