"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"COMP-R1-GA100-FP32","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-SM","compute","scalar","GA100 FP32 CUDA Core","draft","Count is the full-design aggregate, not a product peak."
"COMP-R1-GA100-GPC","OBJ-NVIDIA-GA100-DIE","","control","control","GA100 Graphics Processing Cluster","draft","Full-die aggregate component class."
"COMP-R1-GA100-L1SMEM","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-SM","memory","memory_level","GA100 unified L1 data cache and shared memory","draft","Per-SM 192 KB combined physical capacity is staged. It is not added to the 164 KB configurable shared allocation, and no bandwidth is promoted."
"COMP-R1-GA100-L2","OBJ-NVIDIA-GA100-DIE","","memory","memory_level","GA100 L2 cache","draft","Existence only. Enabled A100 capacity and measured bandwidth remain out of scope."
"COMP-R1-GA100-MEMCTRL","OBJ-NVIDIA-GA100-DIE","","memory","memory_level","GA100 512-bit memory controller","draft","Twelve controllers are on the full design. No 6144-bit total is derived."
"COMP-R1-GA100-OFA","OBJ-NVIDIA-GA100-DIE","","fixed_function","other_fixed_function","GA100 Optical Flow Accelerator","draft","Direct GA100 hardware-accelerator wording. Count and throughput are not disclosed."
"COMP-R1-GA100-REG","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-SM","memory","memory_level","GA100 SM register file","draft","Per-SM 256 KB capacity is staged from the GA100 SM diagram and Table 4. Product aggregate capacity and bandwidth are not promoted."
"COMP-R1-GA100-SM","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-TPC","control","control","GA100 Streaming Multiprocessor","draft","Full physical-design SM class, distinct from the 108 enabled A100 SM configuration."
"COMP-R1-GA100-TENSOR","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-SM","compute","matrix","GA100 third-generation Tensor Core","draft","Implementation component. Architecture precision semantics remain reusable through the Ampere relation."
"COMP-R1-GA100-TPC","OBJ-NVIDIA-GA100-DIE","COMP-R1-GA100-GPC","control","control","GA100 Texture Processing Cluster","draft","Parent denotes structural nesting. Count facts remain full-die aggregates."
"COMP-R1-GA100-VIDEO-DECODE","OBJ-NVIDIA-GA100-DIE","","fixed_function","video_decode","GA100 hardware video decoder","draft","Table 7 directly names GA100 hardware decode support. A100 NVDEC count and throughput are excluded."
