"claim_id","voter","verdict","reason","fixed_source_checks","external_source_ids","external_urls","blocking_issue"
"C01","C","support","四个固定工作家族直接给出前向、反向、梯度、更新及激活依赖；ZeRO和混合精度训练又分别核对模型状态和主权重。限定为固定权重推理后，KV cache反例不否定该阶段差异。","S03 PDF第2页§2.1；S05 PDF第77–96页；S10 PDF第36–38、55–56页；S19 PDF第3–4页§II-C","E01|E02","https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/1710.03740",""
"C02","C","support","固定语料和两种独立KV内存管理方案都证明KV cache按请求及序列动态增长，碎片会压低可并发batch。前缀缓存和临时空间属于可选实现状态，原结论已用“可能包含”保留条件。","S04 Transformer architectures与Table 16；S11 PDF第2页Fig.1；S13 Background/F01；S15 PDF第23–27页","E03|E04|E13","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://arxiv.org/abs/2405.04437",""
"C03","C","support","训练基准按达到目标质量的墙钟时间计量，在线LLM推理则必须在TTFT、TPOT和延迟约束下报告吞吐；离线场景的反例也已在适用条件中排除。","S02 PDF第34–36、80页；S08 PDF第20页Table AB-5；S12 Training/Inference benchmarking；S15 PDF第12–13页","E05|E06|E07","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://mlcommons.org/benchmarks/training/|https://docs.mlcommons.org/inference/",""
"C04","C","support","训练证据明确区分低精度乘算、FP32主权重、梯度动态范围和更宽累加；推理W8A8也仍受激活离群值约束。FP8训练说明门槛可移动，但不推翻必须逐状态记录精度。","S02 PDF第39–42、46页；S05 PDF第148–172页；S10 PDF第55–58页；S19 PDF第4、20–21页","E02|E09|E12","https://arxiv.org/abs/1710.03740|https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2211.10438",""
"C05","C","support","多份现代LLM资料和Sarathi/DistServe一致区分高并行预填充与逐token低利用率解码。结论使用“常更接近”并限定低batch，符合Roofline分析；量化、batch和调度会移动而非消除边界。","S04 Table 22与Transformer architectures；S11 PDF第2页；S12 Inference benchmarking；S13 Gemma inference performance；S15 PDF第23–27页","E04|E05","https://arxiv.org/abs/2308.16369|https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin",""
"C06","C","support","在训练中batch主要改变GEMV/GEMM形态和激活容量，在在线推理中连续批处理提高权重复用却引入排队与KV状态。分开解释两类batch后，固定语料和外部系统论文均支持该条件化折中。","S02 Fig.4.2/4.4与Fig.6.7；S08 PDF第20页§5.2.8；S12 Inference benchmarking；S13 Gemma inference performance；S18 §6","E03|E04|E07|E13","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://docs.mlcommons.org/inference/|https://arxiv.org/abs/2405.04437",""
"C07","C","support","训练状态分解和推理KV状态分解分别有独立证据，但没有同模型、同精度、同并发下的统一测量。因而拒绝无条件HBM容量排序是正确结论；它没有声称两侧容量相等。","S04 AI Memory Systems与Table 11；S05 PDF第77–96、148–172页；S11 PDF第2–7页；S15 PDF第23–24页","E01|E02|E03|E08|E13","https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/1710.03740|https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2405.04437",""
"C08","C","support","Roofline与阶段实证支持低batch解码的数据搬运压力；TPU 8i相对8t公开为更低FP4峰值而更高HBM容量、带宽和Vmem，是“可能重新配比”的直接厂商例证。结论没有把该配比写成普遍必然。","S04 Table 22/主张A；S11 PDF第2、4–5页；S14规格表与F01/F04；S16 COPA-GPU模拟；S18 §6 Roofline","E04|E11|E12","https://arxiv.org/abs/2308.16369|https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/|https://arxiv.org/abs/2211.10438",""
"C09","C","support","Roofline要求把工作负载算术强度与同一存储层级的机器脊点比较；仅有P_peak/B_HBM不能决定瓶颈。精度、稀疏口径、对象层级和持续/峰值不一致都会使比较失效。","S04 Roofline公式2/3与Napkin Math 1.3；S12 Performance dimensions；S18 §6；S19 §V–VIII","E11","https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/",""
"C10","C","support","前后向共享GEMM但训练另有损失、更新、归约和小张量操作；解码也含小batch、归一化、softmax与通信。固定语料显示大矩阵加速后这些部分受Amdahl定律约束，因此峰值矩阵算力不足以代表端到端。","S05 PDF第83–89、110–119页；S10 Fig.3.6/3.7；S14 VPU/MXU重叠与CAE","E08|E10|E12","https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2201.05596|https://arxiv.org/abs/2211.10438",""
"C11","C","uncertain","片上层级、复用和阶段工作集变化得到支持，但整句把激活、梯度和部分和并列为“保存或重算”过宽：固定证据主要支持激活检查点重算，且没有同一现代LLM硬件上训练与解码的片上容量受控对照。","S03 PDF第5页§4.1；S04 Memory hierarchy与Transformer architectures；S14 Vmem规格；S17 SPRING存储层级；S19 PDF第13–17页§V-B","E01|E03|E04","https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369","需把“保存或重算”明确限定到激活，或补充现代LLM同硬件分阶段片上流量/容量证据。"
"C12","C","support","训练的all-reduce/张量/流水并行与推理解码的小而频繁消息分别得到证据；MoE外部论文补足专家路由通信。带宽、消息尺寸、时延、拓扑和有效负载必须联合描述，不能用单一峰值代替。","S03 PDF第4、9页；S05 PDF第98–119、198–219页；S11 PDF第5、9页；S14 Boardfly/3D torus；S15 PDF第24页","E01|E05|E08|E09|E10","https://arxiv.org/abs/1910.02054|https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2201.05596",""
"C13","C","uncertain","TTFT/TPOT/P99、排队、动态批处理、路由、训练goodput与故障恢复各有证据，但候选结论把隔离和抢占也写成普遍必评项；S02、S12、S15完整卡反而明确这些机制未覆盖，且它混合芯片、运行时和集群层级。","S02 PDF第67、70–73、85–88页；S08 PDF第20页§5.2.8；S12 Training/Inference benchmarking；S15 PDF第12–13、25–27页","E03|E04|E05|E07|E08","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://docs.mlcommons.org/inference/|https://arxiv.org/abs/2104.04473","需删去“必须”式全枚举，或为多租户隔离与抢占补独立证据并明确评价对象是服务系统而非芯片本体。"
"C14","C","support","历史语料一致表明部署位置会改变功耗、散热、实时性、网络和成本约束；结论只迁移机制并明确不用于现代LLM定量排序，因此旧CNN与TPUv1证据的时代性不构成反驳。","S07部署/功耗分类；S09 L70–L73、L206–L223及Table 7；S18 §2、§6与数据中心TCO讨论","","",""
"C15","C","support","固定语料和外部服务系统均显示内核、编译、批处理、KV管理和调度会改变利用率与瓶颈；MLPerf也要求记录完整软硬件系统边界。因而端到端结果不能全部归因于芯片微架构。","S01软件/硬件协同；S04 Runtime Support；S12 Benchmarking principles；S13 JetStream对照；S14 JAX/Pathways/XLA","E03|E04|E07|E08|E12|E13","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://docs.mlcommons.org/inference/|https://arxiv.org/abs/2104.04473|https://arxiv.org/abs/2211.10438|https://arxiv.org/abs/2405.04437",""
"C16","C","support","共享矩阵核心、同代TPU分型、预填充/解码分相和COPA式可组合资源提供多种反例；它们证明用途不是逻辑互斥。结论仍允许特定功耗/成本条件下出现高度专用推理器。","S02 Equinox；S03共享加速机制；S07统一平台分类；S13同TPU软硬件案例；S14完整AI生命周期；S15分相优化；S16 COPA-GPU；S17 SPRING","E05|E10|E13","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://arxiv.org/abs/2201.05596|https://arxiv.org/abs/2405.04437",""
"C17","C","support","S11和S14加上独立MoE训练/推理论文共同支持专家容量、路由、负载均衡和通信压力。需要纠正候选表：S15完整卡明确MoE未覆盖，不能作为固定语料支持票；外部E09/E10使总体结论仍成立。","S11 PDF第5、9页；S14 Boardfly与CAE；S15完整卡§5 LLM专项明确MoE未覆盖","E09|E10","https://arxiv.org/abs/2101.03961|https://arxiv.org/abs/2201.05596",""
"C18","C","support","B_HBM/P_peak是机器脊点的倒数，C_HBM/S_state直接描述状态能否适配，C_HBM/P_peak可作为带单位的相对配置量；三者都不是性能预测器。原结论要求同对象、精度和作用域，并把它们限定为诊断量，建模上成立。","S04 Roofline公式与§7存算配比；S12三层benchmark方法；S19对象/精度/累加/存储口径","E01|E02|E07|E11|E12","https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/1710.03740|https://docs.mlcommons.org/inference/|https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/|https://arxiv.org/abs/2211.10438",""
"C19","C","support","数据移动、层级复用、累加位宽与稀疏格式是跨模型成立的底层机制；但具体算术强度、复用倍数和稀疏分布由算子形状决定。候选结论恰好保留该迁移边界，没有把CNN数字移植到LLM。","S03 §4–§7；S05 PDF第147–222页；S07历史平台表；S10第4–5章；S17 SPRING；S19 §V–VIII；S04/S11现代LLM对照","E11|E12","https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/|https://arxiv.org/abs/2211.10438",""
"C20","C","support","19份资料跨时代、精度、对象层级、峰值/实测和厂商披露口径均不统一，也没有共同模型与运行条件；因此无法形成跨厂商统一排名或普适HBM/存算阈值。该判断只约束固定语料，不否认外部世界存在局部规律。","S01–S19完整卡的来源边界、缺失项与对象口径；尤见S04 Roofline限制、S08图表异构性、S09 L101、S12假设Chip A/B/C、S14厂商峰值边界","E06|E07|E11","https://mlcommons.org/benchmarks/training/|https://docs.mlcommons.org/inference/|https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/",""
