"signoff_row_id","binding_kind","source_path","source_sha256","source_bytes","target_path","pk_column","pk_value","source_review_status","authorized_review_status","semantic_status_column","semantic_status_before","semantic_status_after","source_line_sha256","freeze_manifest_sha256","freeze_manifest_bytes","freeze_aggregate_sha256","formal_baseline_manifest_sha256","formal_baseline_manifest_bytes","formal_baseline_aggregate_sha256","temporary_merge_validator_checks","verdict","reviewer","review_date","notes"
"MI455X-SIGN-0001","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-IDENTITY","draft","reviewed","","","","ed1bc902263e368fe27c8eab851e1c3d119bb380ab6ef5d721cdfdf1e98e3d3d","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0002","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-PHYSICAL","draft","reviewed","","","","81f75e8c83ad263319bb46e3e6c985bb3f9fb767aabbd4416252e12607d69b1e","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0003","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-COMPUTE","draft","reviewed","","","","2f5e8fa6a6ebb91c4e676cf1de801709723b0c9fbeaab2f0b4d9633e5ff37610","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0004","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-NUMERICS","draft","reviewed","","","","db5cf312a60fca5f2f0c7429ac9cbd88a836b2f41046782fa5a524b874e13c23","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0005","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-MEMORY","draft","reviewed","","","","d2310cfcdad95a3bc79c32b41f07897956a1f619f73309d95bc7cefe6810498b","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0006","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-INTERCONNECT","draft","reviewed","","","","e5722c3ec9f5b744b438ca1db2cff9c3c4c7580a85fd81a20174b292837f5655","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0007","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-SPECIAL_ENGINES","draft","reviewed","","","","fcd8de6da2e100a78aa444ca56e747e632151786365e18f474cc37f28438338b","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0008","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-SOFTWARE","draft","reviewed","","","","ed849df56275a31a6e894208a1646717dcf6bba418e9b41b1f5291b88b811cac","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0009","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","2876","数据/card-completeness.csv","card_completeness_id","COMPLETE-M2W3-AMD-MI455X-EVIDENCE","draft","reviewed","","","","b34a5672898da343f8b4640a83394991db8816af7391e56153ca2396643b0863","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"MI455X-SIGN-0010","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/components.csv","a95b02d9181f9fed3e6f3613eaa545ff5408093b279ea7340c4c0020c4f373af","1119","数据/components.csv","component_id","COMP-M2W3-AMD-MI455X-WGP","draft","reviewed","","","","d3544642da6da3ca7bf2efa0b23bf72a3eab4108689442d0474cc9310b059730","56ca298d6c9b327c3b5ef2babf30a0f5dc109b519381083e5717452a01b1331b","4603","dfed75716edaff380b35f4b356f4a631a8ce17413a8e339ac2b77448cb94b0a0","21e9d20cd1af23278e58d795a0a4c558692c9a4bef57f2e9482545a3a9b19a83","6070","6aa1bd6373b9d07b383a25c1355609cc6076ee8e491048d68d9c4ba445c0d165","102752","accept","m2_final_review_mi455x","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
