"claim_id","voter","verdict","reason","fixed_source_checks","external_source_ids","external_urls","blocking_issue"
"C01","B","support","S03、S05、S10、S19均把标准训练拆为前向、反向、梯度和更新，并记录反向依赖前向激活；E01把参数、梯度和优化器状态列为训练模型状态，E02又确认半精度激活/梯度与单精度主权重。结论已排除在线学习，也明确不把推理说成无状态，量词和边界成立。","S03|S05|S10|S19","E01|E02","https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/1710.03740",""
"C02","B","support","S04、S11、S13、S15均把自回归推理拆为预填充和逐词解码，并记录随序列增长的KV cache；S15另覆盖前缀缓存、并发和临时状态。E03与E13直接证明每请求KV cache动态增长、碎片会压低可用batch，且管理方案并非唯一。结论限定于自回归Transformer，没有外推到所有推理。","S04|S11|S13|S15","E03|E13","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2405.04437",""
"C03","B","support","S02、S08、S12、S15分别给出训练完成时间/吞吐/goodput与在线推理延迟、并发和成本目标。E06规定训练基准测达到目标质量的墙钟时间，E07规定LLM服务器场景的TTFT和TPOT约束，E05用同时满足TTFT与TPOT的最大请求率定义goodput。离线推理例外已在结论中保留。","S02|S08|S12|S15","E05|E06|E07","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin|https://mlcommons.org/benchmarks/training/|https://docs.mlcommons.org/inference/",""
"C04","B","support","S02、S05、S07、S10、S19共同支持训练需区分梯度动态范围、累加和更新路径，而推理更常采用更低位宽。E02直接要求半精度权重/激活/梯度之外保留FP32主权重并使用loss scaling；E12证明W8A8推理可行但激活离群值仍是数值难点。现代低精度训练和推理量化反例因此把差异限定为通常趋势而非固定门槛。","S02|S05|S07|S10|S19","E02|E12","https://arxiv.org/abs/1710.03740|https://arxiv.org/abs/2211.10438",""
"C05","B","support","S04、S11、S12、S13、S15均区分高并行预填充与逐token解码。E04直接报告预填充在小batch即可饱和GPU计算，而解码因每请求每步只生成一个token而计算利用率低；E05又以不同TTFT/TPOT目标和资源配置验证阶段差异。结论使用常、更接近并限定低批交互服务，已容纳大batch、量化和调度改变瓶颈的反例。","S04|S11|S12|S13|S15","E04|E05","https://arxiv.org/abs/2308.16369|https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin",""
"C06","B","support","S02、S08、S12、S13、S18均显示batch提升复用或吞吐但受排队和延迟约束。E03说明高吞吐服务需要足够batch，而动态KV cache和碎片限制batch；E04的chunked prefill与decode-maximal batching直接显示调度可重塑吞吐—延迟折中；E07区分离线与服务器指标。结论没有把静态batch规律写成定律。","S02|S08|S12|S13|S18","E03|E04|E07","https://arxiv.org/abs/2309.06180|https://arxiv.org/abs/2308.16369|https://docs.mlcommons.org/inference/",""
"C07","B","support","S04、S05、S11、S15分别记录训练的权重/梯度/优化器/激活状态与推理的权重/KV cache/并发状态。E01证明训练内存由多类模型状态组成，E03证明推理KV cache按请求动态变化且碎片会限制并发。现有证据没有在统一模型、精度、优化器、上下文和并发下形成可比排名，因此不能推出任一用途必然需要更多HBM。","S04|S05|S11|S15","E01|E03","https://arxiv.org/abs/1910.02054|https://arxiv.org/abs/2309.06180",""
"C08","B","support","S04、S11对低批解码的低算术强度、权重与KV搬运给出机制证据，S14的同代TPU资源披露和S16的可组合GPU模拟显示推理配置可以提高容量/带宽相对占比。E04独立确认预填充更易饱和计算而逐token解码利用率较低。结论仅说可能，并明确限定现代低批LLM，未把厂商设计意图升级为普适比例。","S04|S11|S14|S16","E04","https://arxiv.org/abs/2308.16369",""
"C09","B","support","S04与S12给出Roofline公式，S18和S19则展示分母只计权重字节或存储层级改变时结论会变。E11明确要求把算术强度与计算峰值、相应内存层级带宽共同使用，并说明缓存、局部性和软件会使实际性能低于屋顶。因此P_peak/B_HBM不能脱离对象、精度、稠密性和工作负载单独当用途标签。","S04|S12|S18|S19","E11","https://amcr.lbl.gov/departments/computer-science-department/ppan/roofline-performance-model/",""
"C10","B","support","S05、S10、S14、S16均给出共享矩阵核心但阶段附加操作和形状不同的证据：训练增加反向、更新、归约与集合通信，解码的小batch和非矩阵操作又可能降低阵列利用率。E04直接观测预填充与解码的计算利用率差异，E08说明训练并行调度和通信会改变端到端吞吐。结论没有声称固定单元配比，只反对以峰值矩阵算力替代阶段测量。","S05|S10|S14|S16","E04|E08","https://arxiv.org/abs/2308.16369|https://arxiv.org/abs/2104.04473",""
