"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T09:12:19.1994574Z","precommit","lock_acquired","","c8d7b2d33c420fc7ec397914b055b0c9eddc7a1f4cc246f6586b0e1ffa7801fd","D:\Appdata From C\Temp\br2-eba013fcb542\M2W3-BUNDLE-FORMAL-TRANSACTION-LOCK-45d9db59adbb8820.lock"
"2","2026-08-13T09:12:54.8492242Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62"
"3","2026-08-13T09:12:54.8695025Z","commit_complete","csv_replace","数据/card-completeness.csv","4463ba1f9724d8e23b07b96e00d6d30e01eb0fbc10b51f57ed959388bd06cf62","commit_index=1"
"4","2026-08-13T09:12:54.8759223Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87"
"5","2026-08-13T09:12:54.8958447Z","commit_complete","csv_replace","数据/components.csv","423180b7dcc9950c6eedc7e50ee89d6aa30b6b8b3dcab644bdd4067239e58a87","commit_index=2"
"6","2026-08-13T09:12:54.9003658Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd"
"7","2026-08-13T09:12:54.9282488Z","commit_complete","csv_replace","数据/condition-sets.csv","490f158c13fdfcaaf4ec25973288e9413ac0df89d2bc04470f1e17d64aee31bd","commit_index=3"
"8","2026-08-13T09:12:54.9317560Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=24addee6816046f5d3d1651cc4fc54e62e536a13d360c27c04bd833a89384871"
"9","2026-08-13T09:12:54.9528035Z","commit_complete","csv_replace","数据/facts.csv","24addee6816046f5d3d1651cc4fc54e62e536a13d360c27c04bd833a89384871","commit_index=4"
"10","2026-08-13T09:12:54.9574136Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=7f84f6109d3a362bdf6beae395e6213bc2aefcfb0244ab7d4440680b0c8cf9a3"
"11","2026-08-13T09:12:54.9782641Z","commit_complete","csv_replace","数据/field-requirements.csv","7f84f6109d3a362bdf6beae395e6213bc2aefcfb0244ab7d4440680b0c8cf9a3","commit_index=5"
"12","2026-08-13T09:12:54.9832788Z","commit_begin","csv_replace","数据/links.csv","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","registered_before_move;candidate=647fba1e936abe640b49fe26ca33b4775f674ba3f1239e1a68bbdf7b6fd12fab"
"13","2026-08-13T09:12:55.0083283Z","commit_complete","csv_replace","数据/links.csv","647fba1e936abe640b49fe26ca33b4775f674ba3f1239e1a68bbdf7b6fd12fab","commit_index=6"
"14","2026-08-13T09:12:55.0123339Z","commit_begin","csv_replace","数据/memory-levels.csv","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","registered_before_move;candidate=ec06a1942df81dd64a3ebd5b972e3e09b4725eab12f218a88435a075fdfe7132"
"15","2026-08-13T09:12:55.0725591Z","commit_complete","csv_replace","数据/memory-levels.csv","ec06a1942df81dd64a3ebd5b972e3e09b4725eab12f218a88435a075fdfe7132","commit_index=7"
"16","2026-08-13T09:12:55.0767990Z","commit_begin","csv_replace","数据/precision-paths.csv","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","registered_before_move;candidate=13b0c596036655b9b39c960be647ef616e4ed3a26d980c25fe6282c1082265f6"
"17","2026-08-13T09:12:55.0989737Z","commit_complete","csv_replace","数据/precision-paths.csv","13b0c596036655b9b39c960be647ef616e4ed3a26d980c25fe6282c1082265f6","commit_index=8"
"18","2026-08-13T09:12:55.1029844Z","commit_begin","csv_replace","最小参考资料库/fact-assertions.csv","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","registered_before_move;candidate=284489effdbfda10a37da139ded2d68c1608004fbc93336c0cd1ff023d5dab33"
"19","2026-08-13T09:12:55.1291684Z","commit_complete","csv_replace","最小参考资料库/fact-assertions.csv","284489effdbfda10a37da139ded2d68c1608004fbc93336c0cd1ff023d5dab33","commit_index=9"
"20","2026-08-13T09:12:55.1331682Z","commit_begin","csv_replace","最小参考资料库/requirement-evidence.csv","8adb26e1df3e020d1a02ab3217b894b3c489a3ecfa030d186d3615c927c95b50","registered_before_move;candidate=e11d052d9900f3092d8d1bd90c3c727687d7a319586d86f6092f6da3ba489959"
"21","2026-08-13T09:12:55.1657344Z","commit_complete","csv_replace","最小参考资料库/requirement-evidence.csv","e11d052d9900f3092d8d1bd90c3c727687d7a319586d86f6092f6da3ba489959","commit_index=10"
"22","2026-08-13T09:12:55.1694703Z","commit_begin","csv_replace","最小参考资料库/search-log.csv","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","registered_before_move;candidate=52b253fb9a554b28dcdaf7a09f517e97a748746d77469b8e642fd37618a5ed94"
"23","2026-08-13T09:12:55.1905206Z","commit_complete","csv_replace","最小参考资料库/search-log.csv","52b253fb9a554b28dcdaf7a09f517e97a748746d77469b8e642fd37618a5ed94","commit_index=11"
"24","2026-08-13T09:12:55.1945218Z","commit_begin","csv_replace","最小参考资料库/search-results.csv","92aec74a85406ffa96c826348ffe298dba702639ecdf956160bf655db48cc40f","registered_before_move;candidate=a5e1dbd8effe9007bf5b99a9ca8826a2cbb47a036554d6922eba2c35596b0e86"
"25","2026-08-13T09:12:55.2281003Z","commit_complete","csv_replace","最小参考资料库/search-results.csv","a5e1dbd8effe9007bf5b99a9ca8826a2cbb47a036554d6922eba2c35596b0e86","commit_index=12"
"26","2026-08-13T09:12:55.2326679Z","commit_begin","csv_replace","最小参考资料库/selection-members.csv","073cba4b5671f2273f75e99a355259444c7c28c2a2da4006b19535b3f030ce0b","registered_before_move;candidate=33489268f80d30d4b1d0063da8cb7a15e8ad0fe3d1f1c961bc19d41339dfbd30"
"27","2026-08-13T09:12:55.2530518Z","commit_complete","csv_replace","最小参考资料库/selection-members.csv","33489268f80d30d4b1d0063da8cb7a15e8ad0fe3d1f1c961bc19d41339dfbd30","commit_index=13"
"28","2026-08-13T09:12:55.2565556Z","commit_begin","csv_replace","最小参考资料库/selection-runs.csv","4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0","registered_before_move;candidate=1e2f0aa6e13af4f0ce5b9268c62bee58735b320196400f6ea2773354bbc1672c"
"29","2026-08-13T09:12:55.2716176Z","commit_complete","csv_replace","最小参考资料库/selection-runs.csv","1e2f0aa6e13af4f0ce5b9268c62bee58735b320196400f6ea2773354bbc1672c","commit_index=14"
"30","2026-08-13T09:12:55.2801370Z","commit_begin","csv_replace","最小参考资料库/source-coverage.csv","88bf789e45a70271bab97a4f1d69034e675418bf340c82d01751d50f07e8ba21","registered_before_move;candidate=5c20123eeddf5046e7b6bc8b44728d5eb89f2ce70106f292b3508b0311a7bf68"
"31","2026-08-13T09:12:55.3041835Z","commit_complete","csv_replace","最小参考资料库/source-coverage.csv","5c20123eeddf5046e7b6bc8b44728d5eb89f2ce70106f292b3508b0311a7bf68","commit_index=15"
"32","2026-08-13T09:12:55.3081841Z","commit_begin","csv_replace","最小参考资料库/source-endpoints.csv","644a9dc2249c717c7e16121d5164184bd5dd9804b9be4983019bb1ad48bc9f6f","registered_before_move;candidate=e4984fef2846fbc299e93dd4573aa3252858848cd7eb7ecc42c4a0d7a249f7bd"
