"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2NA-GAP-0006","REQ-M2NA-GAP-0006","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0059","REQ-M2NA-GAP-0059","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0060","REQ-M2NA-GAP-0060","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0061","REQ-M2NA-GAP-0061","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0062","REQ-M2NA-GAP-0062","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0063","REQ-M2NA-GAP-0063","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0109","REQ-M2NA-GAP-0109","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0110","REQ-M2NA-GAP-0110","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0111","REQ-M2NA-GAP-0111","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0112","REQ-M2NA-GAP-0112","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0113","REQ-M2NA-GAP-0113","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0114","REQ-M2NA-GAP-0114","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
"SEARCH-M2NA-GAP-0163","REQ-M2NA-GAP-0163","2026-08-21","Fixed GA100 package: architecture whitepaper, ISSCC paper, CUDA 11.0 guide, PTX 7.0 or 7.2, MIG 610, RAS June 2023, and reviewed independent measurement papers","architecture_whitepaper,architecture_paper,developer_documentation,api_or_isa_documentation,microbenchmark","no_reliable_result","r1_ga100_atomic_staging","draft","No contract-compatible value for this exact target, field, scope, and condition was accepted."
