"candidate_id","candidate_kind","scope_id","source_id","paired_source_ids","status_or_role","coverage_scope","rationale","review_status","notes"
"SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813-R1","selection_run","M2-W2-GOOGLE-CLOUD-DEVICE","","","draft","device_fact_and_identity_evidence_candidate_set","六源池同时纳入 G05、G08、G09、G10、G15 与 tpu-machines；reverse-removal-v2 按器件事实、对象匹配和稳定定位保留 G08、G09、G10 与 tpu-machines","draft","G15 本地提取缺 L0-L147，不能进入成员；事实集合或文件哈希变化后必须重跑"
"SCREEN-M2W2-G-G01-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G01","","out_of_scope","device_fact_set","96 GiB 与其余 v5p 物理实现值属于 package，只在 GV5P-03 分支审计中保留","draft","不改变 G01 在架构选择运行中的正式状态"
"SCREEN-M2W2-G-G05-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G05","","redundant_covered","device_fact_and_identity_evidence_candidate_set","本范围采用的 v5p/v6e SparseCore 数量分别由 G09 与 tpu-machines 直接覆盖；G05 继续作为通用 TPU 对象模型来源保留","draft","覆盖按 COV-M2W2-G-G05-* 两行拆到单一 covering source"
"SCREEN-M2W2-G-G08-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G08","","selected","device_fact_and_identity_evidence_candidate_set","v5e 单器件身份、组件数量、峰值、HBM、ICI 与 VM/slice 边界的直接产品页来源","draft","tpu-machines 不列 v5e，移除 G08 后 v5e 计划事实失去支持"
"SCREEN-M2W2-G-G09-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G09","","selected","device_fact_and_identity_evidence_candidate_set","v5p 产品页直接给出 95 GiB、每芯片 ICI、组件数量及 3D torus 适用边界","draft","tpu-machines 可交叉核对数值，但不替代 G09 的产品级拓扑与条件定位"
"SCREEN-M2W2-G-G10-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G10","","selected","device_fact_and_identity_evidence_candidate_set","v6e 产品页直接给出 MXU、INT8、HBM、ICI 端口与 2D torus，并区分器件和 VM/slice 配置","draft","tpu-machines 不提供 MXU 数、INT8 路径、ICI 端口或 2D torus 条件"
"SCREEN-M2W2-G-G15-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G15","","redundant_covered","device_fact_and_identity_evidence_candidate_set","当前本地提取缺证据所在的 L69-L87，不能入选；本范围采用的 v5p/v6e SparseCore 数量已有单源覆盖，G15 的 96/32 GiB 容量不用于改写 G09/G10 的 95 GiB/32 GB 原值","draft","SparseCore 覆盖按 COV-M2W2-G-G15-* 两行拆分；96 GiB 留在物理 package 边界，32 GiB 不与 32 GB 合并"
"SCREEN-M2W2-G-TPUMACH-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-W2-G-TPU-MACHINES-20260813","","selected","device_fact_and_identity_evidence_candidate_set","L624-L639 直接列 v5p/v6e 每芯片峰值、HBM、TensorCore、SparseCore、ICI 和 DCN，属于器件事实范围","draft","移除后 v6e FP8 918 TFLOP/s、每芯片 DCN 100 Gbps 和选择集中的 2 SparseCore 定值失去直接支持"
"COV-M2W2-G-G05-V5P-SC4-BY-G09","coverage_candidate","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G05","SRC-M2-GA-G09","fully_covered","v5p_sparsecore_count_4","G05 L211 的 v5p 每芯片 4 SparseCore 由 G09 L156 直接覆盖","draft","单一 covering source 候选"
"COV-M2W2-G-G05-V6E-SC2-BY-TPUMACH","coverage_candidate","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G05","SRC-M2-W2-G-TPU-MACHINES-20260813","fully_covered","v6e_sparsecore_count_2","G05 L211 的 v6e 每芯片 2 SparseCore 由 tpu-machines L637 直接覆盖","draft","单一 covering source 候选"
"COV-M2W2-G-G15-V5P-SC4-BY-G09","coverage_candidate","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G15","SRC-M2-GA-G09","fully_covered","v5p_sparsecore_count_4","若以后补齐 G15，表中 v5p 每芯片 4 SparseCore 已由 G09 L156 覆盖","draft","G15 当前 endpoint 仍 pending；本行不能替代 endpoint 门"
"COV-M2W2-G-G15-V6E-SC2-BY-TPUMACH","coverage_candidate","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G15","SRC-M2-W2-G-TPU-MACHINES-20260813","fully_covered","v6e_sparsecore_count_2","若以后补齐 G15，Trillium 每芯片 2 SparseCore 已由 tpu-machines L637 覆盖","draft","G15 当前 endpoint 仍 pending；本行不能替代 endpoint 门"
"SELMEM-M2W2-G-G08-R1","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813-R1","SRC-M2-GA-G08","","core_spec","v5e_device_scope_and_specs","移除后 v5e 单器件组件、峰值、HBM、ICI 与配置边界失去直接支持","draft","G08 L136-L159"
"SELMEM-M2W2-G-G09-R1","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813-R1","SRC-M2-GA-G09","","core_spec","v5p_device_scope_specs_and_topology","移除后 v5p 产品级 3D torus 条件与对象匹配定位失去支持","draft","G09 L145-L160"
"SELMEM-M2W2-G-G10-R1","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813-R1","SRC-M2-GA-G10","","core_spec","v6e_device_scope_specs_and_topology","移除后 v6e MXU、INT8、ICI 端口和 2D torus 条件失去直接支持","draft","G10 L141-L162"
"SELMEM-M2W2-G-TPUMACH-R1","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813-R1","SRC-M2-W2-G-TPU-MACHINES-20260813","","core_spec","v5p_v6e_cross_generation_per_chip_specs","移除后 v6e FP8、每芯片 DCN 和选择集中的 2 SparseCore 定值失去直接支持","draft","tpu-machines L624-L639"
"SCREEN-M2W2-G-TPUMACH-CONFIG","screening","M2-W2-GOOGLE-CONFIG-ROW-AUDIT","SRC-M2-W2-G-TPU-MACHINES-20260813","","selected","machine_type_and_topology_rows","机器类型、每 VM 芯片数、总 HBM 和 topology 行的对象匹配一手来源","draft","配置事实尚未冻结，不建立 reviewed selection run"
"BOUNDARY-M2W2-G-GV5P03-G01","boundary_member","DEF-M2GA-GV5P-03-SPLIT","SRC-M2-GA-G01","SRC-M2-GA-G09","conflict_evidence","cross_object_scope_audit","固定论文表格给出 96 GiB 物理分支","draft","不支持 95 GiB 云端值"
"BOUNDARY-M2W2-G-GV5P03-G09","boundary_member","DEF-M2GA-GV5P-03-SPLIT","SRC-M2-GA-G09","SRC-M2-GA-G01","conflict_evidence","cross_object_scope_audit","云产品页给出 95 GiB per chip 分支","draft","两源共同保留作用域歧义，不推导 1 GiB 预留"
