"scope_item_id","formal_object_id","vendor_id","canonical_label","object_type","scope_role","card_action","identity_state","evidence_boundary","notes"
"M2-GHC-GROQ-LPU1","OBJ-GROQ-LPU1-ARCH","VEN-GROQ","Groq first-generation LPU architecture","architecture_generation","historical_anchor","architecture_card","reviewed","Only first-generation Groq sources; no inheritance from NVIDIA Groq 3","Formal object preallocated by root."
"M2-GHC-NVIDIA-GROQ3","OBJ-NVIDIA-GROQ3-ARCH","VEN-NVIDIA","NVIDIA Groq 3 LPU architecture","architecture_generation","observation","observation_card","reviewed","NVIDIA first-party sources only for current identity and claims; keep isolated from first-generation Groq","LP30 physical identity remains outside this package."
"M2-GHC-HUAWEI-DAVINCI","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","VEN-HUAWEI","Huawei Da Vinci initial architecture","architecture_generation","historical_anchor","architecture_card","reviewed","Only mechanisms explicitly covered by original Da Vinci sources; no projection to later Ascend products","Formal object preallocated by root."
"M2-GHC-CAMBRICON-MLUARCH05","OBJ-CAMBRICON-MLU590-ARCH","VEN-CAMBRICON","Cambricon MLUarch05","architecture_generation","main_sample","architecture_card","reviewed","Reuse M1 WAIC fact chain; do not equate with BANG v5.0 or software identifiers","Existing formal object and facts remain canonical."
"M2-GHC-CAMBRICON-BANG-V2","","VEN-CAMBRICON","Cambricon BANG v2.0","architecture_generation","historical_anchor","identity_audit_only","needs_resolution","Create no formal object unless a readable versioned first-party physical-architecture mapping is found","Candidate-only during this package."
"M2-GHC-CAMBRICON-BANG-V3","","VEN-CAMBRICON","Cambricon BANG v3.0","architecture_generation","historical_anchor","identity_audit_only","needs_resolution","Create no formal object unless a readable versioned first-party physical-architecture mapping is found","Candidate-only during this package."
"M2-GHC-CAMBRICON-BANG-V5","","VEN-CAMBRICON","Cambricon BANG v5.0","architecture_generation","observation","identity_audit_only","needs_resolution","Keep separate from MLUarch05, compute_50, mtp_592 and __BANG_ARCH__=592","CNToolkit 3.8.4 body currently inaccessible (remote HTTP 401)."
"M2-GHC-CAMBRICON-COMPUTE50","","VEN-CAMBRICON","compute_50","","observation","software_identifier_only","needs_resolution","Compiler/software target identifier; not a physical architecture object","No formal object."
"M2-GHC-CAMBRICON-MTP592","","VEN-CAMBRICON","mtp_592","","observation","software_identifier_only","needs_resolution","Runtime/compiler target identifier; syntax and physical meaning unresolved","No formal object."
"M2-GHC-CAMBRICON-BANGARCH592","","VEN-CAMBRICON","__BANG_ARCH__=592","","observation","software_identifier_only","reviewed","Fixed MLU-OPS build macro only; not a physical architecture object","Reuse existing M1 software-target fact."
