"relative_path","bytes","sha256","read_mode","parsed_rows","parsed_columns"
"审计/子代理交接/aws_merge_rehearsal/aws-google-write-set-conflict-audit.csv","1060","c276260f4579a3529034f7ebb506096fbc8e75e7ddbe9fa911b23c5bedacba8f","bytes_and_csv_parse","8","7"
"审计/子代理交接/aws_merge_rehearsal/checkpoint-manifest.csv","1299","e0b934b95e7c4e2360680690b5639a8c54adc5d768285374aea8e577047b6d9b","bytes_and_csv_parse","12","3"
"审计/子代理交接/aws_merge_rehearsal/current-baseline-pk-diff.csv","1495","5c9675f0a20e10c076fe76c21ddc73ef65f5407c31ca98b2061195dc5124ec3a","bytes_and_csv_parse","8","6"
"审计/子代理交接/aws_merge_rehearsal/current-baseline-table-diff.csv","5733","1c24915a203ae6c6abd65a30021eeb0bc56a4b2f76e176803e8ef7c5b184cc35","bytes_and_csv_parse","32","4"
"审计/子代理交接/aws_merge_rehearsal/formal-hash-integrity.csv","5681","e88f120a66b50697e735396097262afe557574ccd4c1eb809a6f763e83002bf7","bytes_and_csv_parse","32","4"
"审计/子代理交接/aws_merge_rehearsal/Invoke-AwsPackageMerge.ps1","30600","d2623ba0bad3cf841f0d12cd1c1805bb326c03a4d2478589992b36065e3aefbb","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/legacy-old-signoff-positive-signed-baseline.txt","320","845a5fb21bafde88e7e365139ea6be386bda61d59004dfc04c7d27620cce8fec","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/legacy-old-signoff-validation-summary.json","794","45ea71609bdddc19c72c7d51a8263ebb95ebf2a962d3e0f2aa0839cacd64b7cb","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/legacy-old-signoff-validator.txt","102","fb9bc10f0c23353495f67439237588d1b26acb69596c593203d9596d5fecd308","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/negative-current-baseline.txt","320","64cb9f5f49456dd707826293448834b1e744285b3e02854b120b63dad3b428f5","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/negative-existing-target.txt","934","b05abf8fed77622f8dfb698bc0bee32851729d0c0c72fa1b08582a89d66199c2","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/negative-old-signoff.txt","500","ca0b0bf493c9190d6599de10d91b7727ed0e9d94b8ae3e7ce7c2e25ea37a0222","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/positive-signed-baseline.txt","320","64cb9f5f49456dd707826293448834b1e744285b3e02854b120b63dad3b428f5","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/README.md","4426","0460ec43dbade18e4aa88bfb2e85cc31cd00925be3c3d418c8822e69c1ef4799","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/resign-candidate.csv","215261","b3da2c0eef39d30375bf0eb251022f091648807fb40a5158c99744485e7d6bc2","bytes_and_csv_parse","486","13"
"审计/子代理交接/aws_merge_rehearsal/Test-AwsPackageMergeRehearsal.ps1","22269","d394c395d10931c73f43f82eeea8c9d50e7b7646c094ca5ac0ae78e45916cbef","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/validation-summary.json","798","743b9048dc38217c50c4915e2426e301ea4e7ecd2a1641569943494ac9ca8ce9","bytes_and_utf8_text","",""
"审计/子代理交接/aws_merge_rehearsal/validator-signed-baseline.txt","102","aef755f54863ea289f4d90592eb304efbda5cb891ed489706636e04b174d5d4a","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/aws-google-conflict-audit.csv","6341","b2d234201efc4d7831515900ad3cb202170d229ea9a032e587d026731e595136","bytes_and_csv_parse","38","7"
"审计/子代理交接/aws_signoff_rebase/aws-signoff-rebase.csv","550594","9429d80f0ba649724ed1276523df8ecfcf269e6e748b15a6cbe4dd11013b42c0","bytes_and_csv_parse","486","26"
"审计/子代理交接/aws_signoff_rebase/Build-Aws-Signoff-Rebase.ps1","19757","bbfe797f15b0828d1412c416c9e5f73eb707b6978710dd7b85dac56ec6517da7","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/build-summary.json","807","5a87cd4b2a32e6db484e4301f828ce0f9b78edd6152e5f212ada02c66cfddbdf","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/formal-baseline-hashes.csv","3539","3ec276fbe4f31c4e3ea68fd2803c18120fc6273baea79ffe2305387e8434e96c","bytes_and_csv_parse","32","3"
"审计/子代理交接/aws_signoff_rebase/google-fixed-file-audit.csv","1356","ec0115e3e848659095fdc22d31a7f62103b705131ea01bb882512010e298b97d","bytes_and_csv_parse","5","6"
"审计/子代理交接/aws_signoff_rebase/google-formal-pk-delta.csv","1047","01d9ba575b7cc77c039017599b51d4188128b5073102567a8042fd00dbbd595f","bytes_and_csv_parse","8","6"
"审计/子代理交接/aws_signoff_rebase/Invoke-Aws-Signoff-IsolatedReplay.ps1","20613","c9863c7a1d335919971428f2bf676cca01c5a98ff62b1f9ea1111b21bc7b1e25","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/isolated-replay-results.json","1041","3e2281f5c51e9894949f486441117ee33b2a77aa7df46617bbce88f8f2b130eb","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/isolated-validator-output.txt","105","4745ca187edc5eb2c156aed98d90a37f0ed8e3115fd86167f4467d91e0513ea2","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/manifest.csv","1368","c4ba6b7c9eec4d4651f2bc858119492004a31b64fe6da8acbc473b90dc2bc553","bytes_and_csv_parse","13","3"
"审计/子代理交接/aws_signoff_rebase/old-to-new-cell-diff.csv","385972","c77b8f561a5fb913de5bbd3a041d79786be31c2bee30386b489a68677b9de02f","bytes_and_csv_parse","1001","5"
"审计/子代理交接/aws_signoff_rebase/README.md","5619","b5274bc26a8ff59d94ecbeed2f516f1a55d05648018ac99cfdf11d6a4c92a3d3","bytes_and_utf8_text","",""
"审计/子代理交接/aws_signoff_rebase/rebase-binding.json","5190","873820b96c13c06c4dbda7e62dcf042d3b71af0db9ecb5fcb882da7378cbf465","bytes_and_utf8_text","",""
"审计/子代理交接/field_subject_contract_remediation/adjudication.csv","80192","b45adbc18852593e88c49d5b30f3364177d491766be860f134052f5249ec14b4","bytes_and_csv_parse","132","13"
"审计/子代理交接/field_subject_contract_remediation/Apply-RemediationToIsolatedCopy.ps1","12838","757bd93eb431a8f107f074a6d18bca4396fd65e32aa81a8d67bf97e14af717d1","bytes_and_utf8_text","",""
"审计/子代理交接/field_subject_contract_remediation/Build-Remediation.ps1","33425","8f1d0279badda27a208d88ad2c2f7544e3fb0748188617de3b72ff9556305ef0","bytes_and_utf8_text","",""
"审计/子代理交接/field_subject_contract_remediation/candidate-csv-format-audit.csv","412","aaa667cbc5a6a3ad34387bd886fb8c72f8372dc08e028e94abd06dd03fe153c0","bytes_and_csv_parse","3","5"
"审计/子代理交接/field_subject_contract_remediation/candidate-field-requirements.csv","273459","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","bytes_and_csv_parse","792","16"
"审计/子代理交接/field_subject_contract_remediation/candidate-fields.csv","25032","1723cd5ef441ea12c53e785a4d2e2101f81ecdc5ce10872a02152cfb6539e2ee","bytes_and_csv_parse","120","13"
"审计/子代理交接/field_subject_contract_remediation/candidate-schema-columns.csv","68873","4c756065e0fc3fba175b0abeb41699ec637224aa4e8a5c9e150ff60730ce9375","bytes_and_csv_parse","324","14"
"审计/子代理交接/field_subject_contract_remediation/field-contract-proposals.csv","9576","19f6c24b027339efb28332a7e57e987efb1ed3f6be2872b3e4720f7030d9b10b","bytes_and_csv_parse","26","12"
"审计/子代理交接/field_subject_contract_remediation/final-summary.json","651","44e0e1c580af94ba0d721d5c5c20f007d1f021f680eafaea25c23df92fea07b9","bytes_and_utf8_text","",""
"审计/子代理交接/field_subject_contract_remediation/formal-file-hashes.csv","1196","244cbee7e73aace462afbd55adb821c2066c48178a683f549f4438e025e4865a","bytes_and_csv_parse","6","5"
"审计/子代理交接/field_subject_contract_remediation/formal-migration-and-rollback.md","2251","44d5de664df9278285f257720e1fed71426eae4ba3dec7fc1d6661834ff36feb","bytes_and_utf8_text","",""
