"precision_path_id","path_label","field_id","applicability","closure_kind","formal_record_id","closure_status","notes"
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-OPERAND-A","applicable","fact","FACT-M2NA-AMPERE-FP16-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-OPERAND-B","applicable","fact","FACT-M2NA-AMPERE-FP16-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-M2NA-AMPERE-FP16-ACC","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-PHYSICAL-ACCUM","applicable","requirement","REQ-M2NA-GAP-0059","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-OUTPUT","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-OUTPUT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-OUTPUT for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-ROUNDING","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-ROUNDING","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-ROUNDING for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-SCALING-MODE","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SCALING-MODE","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-MODE for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-SCALING-GRANULARITY","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SCALING-GRANULARITY","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SCALING-GRANULARITY for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-SATURATION","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SATURATION","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SATURATION for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-SUBNORMAL","applicable","requirement","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SUBNORMAL","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-SUBNORMAL for Ampere FP16 to FP32."
"PPATH-M2NA-AMPERE-TENSOR-FP16","Ampere FP16 to FP32","FIELD-NUM-SPARSITY","applicable","fact","FACT-R1-GA100-AMPERE-SPARSE-FP16","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-OPERAND-A","applicable","fact","FACT-R1-GA100-AMPERE-FP16-ACC16-A","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-OPERAND-B","applicable","fact","FACT-R1-GA100-AMPERE-FP16-ACC16-B","value_available","Exact target-field fact; conditions remain on the fact."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-PRODUCT","applicable","requirement","REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-PRODUCT","not_found","The selected fixed whitepaper and PTX corpus does not disclose FIELD-NUM-PRODUCT for Ampere FP16 to FP16."
"PPATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16","Ampere FP16 to FP16","FIELD-NUM-ACCUMULATION","applicable","fact","FACT-R1-GA100-AMPERE-FP16-ACC16-ACC","value_available","Exact target-field fact; conditions remain on the fact."
