"field_id","field_domain","field_name_zh","definition","value_kind","canonical_unit","value_enum_name","allowed_subject_kinds","condition_schema","required_tier","review_status","notes","allowed_requirement_target_kinds"
"FIELD-BENCH-ENERGY-PER-TOKEN","benchmark","每 token 能耗","给定工作负载、阶段、服务约束和测量范围下的每 token 能量","number","J/token","","object","benchmark","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-BENCH-LATENCY","benchmark","实测延迟","在完整工作负载、精度、批量、软件和设备条件下的实测延迟","number","s","","object","benchmark","conditional","approved","M0 数据模型审查补充","object"
"FIELD-BENCH-POWER","benchmark","实测功耗","实测工作负载对应的设备或系统功耗","number","W","","object","benchmark","conditional","approved","M0 数据模型审查补充","object"
"FIELD-BENCH-THROUGHPUT","benchmark","实测吞吐","在完整工作负载、精度、批量、软件和设备条件下的实测吞吐","number","","","object","benchmark","conditional","approved","M0 数据模型审查补充","object"
"FIELD-BENCH-TOKENS-PER-JOULE","benchmark","单位能量 token 数","给定工作负载、阶段、服务约束和测量范围下的 token/J","number","token/J","","object","benchmark","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-BENCH-UTILIZATION","benchmark","利用率与扩展效率","在完整模型、阶段、精度、批量、软件和设备条件下的 MFU、HFU、MBU 或扩展效率","number","ratio","","object","benchmark","conditional","approved","资料卡 0.3 候选因素对齐新增。","object"
"FIELD-CAP-IMPLEMENTATION-DETAIL","special_capabilities","实现细节","承载特殊能力的模块、指令、引擎、通用单元或软件组件","text","","","capability","capability","core","approved","M0 数据模型审查补充","object;capability"
"FIELD-CAP-IMPLEMENTATION-LEVEL","special_capabilities","实现层级","特殊能力由物理模块、指令、可配置引擎、通用路径、网络或软件中的哪一层实现","enum","","implementation_level","capability","capability","core","approved","M0 数据模型审查补充","capability"
"FIELD-CAP-LIMITATION","special_capabilities","能力限制","特殊能力公开的形状、精度、规模或软件限制","text","","","capability","capability","important","approved","M0 数据模型审查补充","capability"
"FIELD-CAP-THROUGHPUT","special_capabilities","能力吞吐","特殊能力在明确操作、格式和运行条件下的吞吐","number","","","capability","compute","conditional","approved","M0 数据模型审查补充","capability"
"FIELD-COMP-ARRAY-SHAPE","compute","物理阵列形状","与指令 Tile 分开","text","","","component","compute","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-COMP-CONCURRENCY","compute","并发关系","与其他单元能否同时达到峰值","text","","","component","compute","important","approved","源自资料卡字段字典 0.1","component"
"FIELD-COMP-CONTROL-SCHEDULING","compute","硬件控制与调度","发射、依赖、同步、抢占、静态编排或其他片上硬件调度机制","text","","","component","compute","extended","approved","资料卡 0.3 候选因素对齐新增。","object;component"
"FIELD-COMP-COUNT-RULE","compute","运算计数规则","一次乘加计 1 次还是 2 次","enum","","operation_count_rule","precision_path","compute","important","approved","源自资料卡字段字典 0.1","precision_path"
"FIELD-COMP-DATAFLOW-RESIDENCY","compute","数据流与驻留策略","计算单元的数据复用、驻留、流送和结果回写方式，与执行模型和物理阵列形状分开","text","","","component","compute","important","approved","资料卡 0.3 候选因素对齐新增。","object;component"
"FIELD-COMP-EXECUTION","compute","执行模型","SIMT、SIMD、脉动阵列、空间数据流、静态调度等","text","","","component","compute","important","approved","源自资料卡字段字典 0.1","object;component"
"FIELD-COMP-INSTRUCTION-TILE","compute","指令或算子 Tile","指令支持范围和约束","text","","","precision_path","compute","important","approved","源自资料卡字段字典 0.1","object;precision_path"
"FIELD-COMP-ISSUE-WIDTH","compute","发射宽度","计算组件每周期可发射的指令、操作或数据通路宽度","number","","","component","compute","important","approved","M0 数据模型审查补充","object;component"
"FIELD-COMP-SHARED-RESOURCE","compute","共享资源","发射、寄存器、存储端口、功耗等","text","","","component","compute","important","approved","源自资料卡字段字典 0.1","component"
