"object_id","vendor_id","canonical_label","scope_role","card_action","reuse_existing_facts","notes"
"OBJ-NVIDIA-AMPERE-ARCH","VEN-NVIDIA","NVIDIA Ampere architecture","historical_anchor","architecture_card","false","只录架构共享机制，不写 A100/A800 SKU 参数。"
"OBJ-NVIDIA-HOPPER-ARCH","VEN-NVIDIA","NVIDIA Hopper architecture","main_sample","architecture_card","true","复用 M1 H100/GH100 正式事实与来源链，不创建第二套事实。"
"OBJ-NVIDIA-ADA-LOVELACE-ARCH","VEN-NVIDIA","NVIDIA Ada Lovelace architecture","main_sample","architecture_card","false","只录共享架构机制，不从桌面 GPU 反推 L2/L20 SKU 规格。"
"OBJ-NVIDIA-BLACKWELL-ARCH","VEN-NVIDIA","NVIDIA Blackwell architecture","main_sample","architecture_card","false","与 Blackwell Ultra 分开；SKU 和系统聚合值不进入本卡。"
"OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","VEN-NVIDIA","NVIDIA Blackwell Ultra architecture","main_sample","architecture_card","false","需要一手资料固定与 Blackwell 的代际边界。"
"OBJ-NVIDIA-RUBIN-ARCH","VEN-NVIDIA","NVIDIA Rubin architecture","observation","observation_architecture_card","false","只保存截止日已公布架构事实和状态，不外推最终 SKU。"
"OBJ-AMD-CDNA2-ARCH","VEN-AMD","AMD CDNA 2 architecture","historical_anchor","architecture_card","false","历史锚点；不写 MI250X/MI210 启用配置。"
"OBJ-AMD-CDNA3-ARCH","VEN-AMD","AMD CDNA 3 architecture","main_sample","architecture_card","false","共享机制与 MI300A/MI300X/MI325X SKU 配置分开。"
"OBJ-AMD-CDNA4-ARCH","VEN-AMD","AMD CDNA 4 architecture","main_sample","architecture_card","false","共享机制与 MI350X/MI355X/MI350P 规格分开。"
"OBJ-AMD-CDNA5-ARCH","VEN-AMD","AMD CDNA 5 architecture","main_sample","architecture_card","false","截止日为 announced；不把计划发货写成已交付。"
"OBJ-AMD-CDNA6-ARCH","VEN-AMD","AMD CDNA 6 architecture","observation","observation_architecture_card","false","只录已正式命名的未来架构身份和再检索条件。"
