"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PP-AWS-TRN2-TENSOR-FP8","CMP-AWS-TRN2-TENSOR","NCv3 Tensor FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-BF16","CMP-AWS-TRN2-TENSOR","NCv3 Tensor BF16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-FP16","CMP-AWS-TRN2-TENSOR","NCv3 Tensor FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-TF32","CMP-AWS-TRN2-TENSOR","NCv3 Tensor TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-FP32","CMP-AWS-TRN2-TENSOR","NCv3 Tensor FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-VECTOR-FP32","CMP-AWS-TRN2-VECTOR","NCv3 Vector FP32 path","vector","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-SCALAR-FP32","CMP-AWS-TRN2-SCALAR","NCv3 Scalar FP32 path","scalar","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-FP8","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-BF16","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate BF16/FP16/TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-FP16","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-TF32","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-FP32","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-FP8","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-BF16","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate BF16/FP16/TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-FP16","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-TF32","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2U-48XL-FP32","CMP-AWS-TRN2U-48XL-TENSOR-AGG","trn2u.48xlarge aggregate FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-FP8","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-BF16","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate BF16/FP16/TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-FP16","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-TF32","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-ULTRA64-FP32","CMP-AWS-TRN2-ULTRA64-TENSOR-AGG","Trn2 UltraServer aggregate FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
