"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W3-HUAWEI-ASC950-DIE-VENDOR","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-VENDOR","Huawei","","","COND-NONE","direct_statement","single_source","provisional","","","high","Official Huawei keynote.","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-VENDOR|Huawei|||COND-NONE","draft","Publisher identity."
"FACT-M2W3-HUAWEI-ASC950-DIE-FAMILY","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-FAMILY","Ascend 950 series","","","COND-NONE","direct_statement","single_source","provisional","","","high","Exact H-2 series label.","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-FAMILY|Ascend 950 series|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950-DIE-NAME","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-NAME","Huawei Ascend 950 die","","","COND-NONE","direct_statement","single_source","provisional","","","high","H-2 explicitly names Ascend 950 Die.","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-NAME|Huawei Ascend 950 die|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950-DIE-OBJECT-TYPE","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-OBJECT-TYPE","die","","","COND-NONE","direct_statement","single_source","provisional","","","high","H-2 uses the exact term Die.","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-OBJECT-TYPE|die|||COND-NONE","draft",""
"FACT-M2W3-HUAWEI-ASC950-DIE-RELEASE-DATE","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-RELEASE-DATE","2025-09-18","","","COND-NONE","direct_statement","single_source","provisional","2025-09-18","","high","Dated official first disclosure.","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-RELEASE-DATE|2025-09-18|||COND-NONE","draft","Announcement, not availability."
"FACT-M2W3-HUAWEI-ASC950-DIE-FP8-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-FP8","","","FIELD-COMP-THROUGHPUT","","1000000000000000","FLOP/s","COND-M2W3-HUAWEI-ASC950-DIE-FP8-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-FP8|FIELD-COMP-THROUGHPUT||1000000000000000|FLOP/s|COND-M2W3-HUAWEI-ASC950-DIE-FP8-ROADMAP","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"FACT-M2W3-HUAWEI-ASC950-DIE-MXFP8-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP8","","","FIELD-COMP-THROUGHPUT","","1000000000000000","FLOP/s","COND-M2W3-HUAWEI-ASC950-DIE-MXFP8-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP8|FIELD-COMP-THROUGHPUT||1000000000000000|FLOP/s|COND-M2W3-HUAWEI-ASC950-DIE-MXFP8-ROADMAP","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"FACT-M2W3-HUAWEI-ASC950-DIE-HIF8-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-HIF8","","","FIELD-COMP-THROUGHPUT","","1000000000000000","FLOP/s","COND-M2W3-HUAWEI-ASC950-DIE-HIF8-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-HIF8|FIELD-COMP-THROUGHPUT||1000000000000000|FLOP/s|COND-M2W3-HUAWEI-ASC950-DIE-HIF8-ROADMAP","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"FACT-M2W3-HUAWEI-ASC950-DIE-MXFP4-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP4","","","FIELD-COMP-THROUGHPUT","","2000000000000000","FLOP/s","COND-M2W3-HUAWEI-ASC950-DIE-MXFP4-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP4|FIELD-COMP-THROUGHPUT||2000000000000000|FLOP/s|COND-M2W3-HUAWEI-ASC950-DIE-MXFP4-ROADMAP","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"FACT-M2W3-HUAWEI-ASC950-DIE-VECTOR-EXECUTION","","COMP-M2W3-HUAWEI-ASC950-DIE-VECTOR","","","","","","FIELD-COMP-EXECUTION","Combined SIMD and SIMT vector design","","","COND-M2W3-HUAWEI-ASC950-DIE-MECHANISM-ROADMAP","direct_statement","source_with_caveat","provisional","2025-09-18","","medium","H-2 first states PR and DT use the same die, then gives a common Ascend 950 chips statement; stored once on the die with caveat.","component|COMP-M2W3-HUAWEI-ASC950-DIE-VECTOR|FIELD-COMP-EXECUTION|Combined SIMD and SIMT vector design|||COND-M2W3-HUAWEI-ASC950-DIE-MECHANISM-ROADMAP","draft","SIMD=single instruction multiple data; SIMT=single instruction multiple threads."
