"table_name","pk","from_status","to_status","freeze_aggregate_sha256"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-COMPUTE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-EVIDENCE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-IDENTITY","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-INTERCONNECT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-MEMORY","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-NUMERICS","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-PHYSICAL","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-SOFTWARE","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"card-completeness.csv","CC-M2W2-AMD-HELIOS-SPECIAL","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"components.csv","COMP-M2W2-AMD-HELIOS-COMPUTE-AGG","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"components.csv","COMP-M2W2-AMD-HELIOS-HBM4-AGG","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"condition-sets.csv","COND-M2W2-AMD-HELIOS-HBM4-BW","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"condition-sets.csv","COND-M2W2-AMD-HELIOS-OBS-20260812","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"condition-sets.csv","COND-M2W2-AMD-HELIOS-OCP-MXFP-PEAK","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"condition-sets.csv","COND-M2W2-AMD-HELIOS-SCALEOUT","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"condition-sets.csv","COND-M2W2-AMD-HELIOS-SCALEUP","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
"fact-assertions.csv","ASSERT-M2W2-AMD-HELIOS-0001","draft","reviewed","9f87160dcafd5061abd1b01a57b5df2a63c2c662446bd3a436f2d9da5034fad5"
