"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W3-AMD-MI455X-VENDOR","OBJ-AMD-MI455X","","","","","","","FIELD-ID-VENDOR","AMD","","","COND-NONE","direct_statement","single_source","provisional","","","high","Dedicated first-party product page.","OBJ-AMD-MI455X|FIELD-ID-VENDOR|AMD|COND-NONE","draft",""
"FACT-M2W3-AMD-MI455X-FAMILY","OBJ-AMD-MI455X","","","","","","","FIELD-ID-FAMILY","AMD Instinct","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated first-party product page lists Instinct family.","OBJ-AMD-MI455X|FIELD-ID-FAMILY|AMD-Instinct|COND-NONE","draft",""
"FACT-M2W3-AMD-MI455X-NAME","OBJ-AMD-MI455X","","","","","","","FIELD-ID-NAME","AMD Instinct MI455X","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated product page and fixed brochure match.","OBJ-AMD-MI455X|FIELD-ID-NAME|AMD-Instinct-MI455X|COND-NONE","draft","Trademark marks omitted only in normalized text."
"FACT-M2W3-AMD-MI455X-SKU","OBJ-AMD-MI455X","","","","","","","FIELD-ID-SKU","MI455X","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated page names the exact SKU.","OBJ-AMD-MI455X|FIELD-ID-SKU|MI455X|COND-NONE","draft",""
"FACT-M2W3-AMD-MI455X-OBJECT-TYPE","OBJ-AMD-MI455X","","","","","","","FIELD-ID-OBJECT-TYPE","module","","","COND-NONE","direct_statement","source_with_caveat","provisional","","","high","The fixed brochure states EAM Module; mapping that form to the frozen project object_type module is curatorial.","OBJ-AMD-MI455X|FIELD-ID-OBJECT-TYPE|module|COND-NONE","draft","Do not create a separate EAM object or infer board/server scope."
"FACT-M2W3-AMD-MI455X-RELEASE-DATE","OBJ-AMD-MI455X","","","","","","","FIELD-ID-RELEASE-DATE","2026-07-23","","","COND-NONE","direct_statement","single_source","provisional","2026-07-23","","high","Dedicated page lists Launch Date 7/23/2026.","OBJ-AMD-MI455X|FIELD-ID-RELEASE-DATE|2026-07-23|COND-NONE","draft","Launch date is not an availability date."
"FACT-M2W3-AMD-MI455X-STATUS","OBJ-AMD-MI455X","","","","","","","FIELD-ID-STATUS","announced","","","COND-NONE","direct_statement","source_with_caveat","provisional","2026-07-23","","high","The fixed AMD product page identifies the exact MI455X product and gives a 2026-07-23 Launch Date; the reviewed project range gate normalizes that public disclosure to announced only.","OBJ-AMD-MI455X|FIELD-ID-STATUS|announced|2026-08-13","draft","Controlled status normalization: announced does not mean shipped, production_ramp or available."
"FACT-M2W3-AMD-MI455X-PROCESS","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-PROCESS","TSMC 2 nm and 3 nm FinFET process technologies","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated page and fixed brochure give the same mixed-node label.","OBJ-AMD-MI455X|FIELD-PHY-PROCESS|TSMC-2nm-3nm-FinFET|COND-NONE","draft","The sources do not map each node to a specific die in the table."
"FACT-M2W3-AMD-MI455X-PACKAGE","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-PACKAGE","Multi-chip CoWoS-L package with stacked 3D hybrid-bonded compute dies connected through high-density interconnect and AMD Infinity Fabric","","","COND-NONE","direct_statement","single_source","provisional","","","high","The fixed MI400 landing snapshot directly predicates the stacked 3D hybrid-bonded compute dies, high-density interconnect, AMD Infinity Fabric and advanced CoWoS-L package on MI455X.","OBJ-AMD-MI455X|FIELD-PHY-PACKAGE|multi-chip-CoWoS-L-3D-hybrid|COND-NONE","draft","No die area or interposer dimensions are inferred."
"FACT-M2W3-AMD-MI455X-XCD-COUNT","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-DIE-COUNT","","8","count","COND-M2W3-AMD-MI455X-XCD-COUNT","direct_statement","single_source","provisional","","","high","Fixed brochure specification table.","OBJ-AMD-MI455X|FIELD-PHY-DIE-COUNT|8|XCD","draft","Eight accelerated compute dies."
"FACT-M2W3-AMD-MI455X-IOD-COUNT","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-DIE-COUNT","","2","count","COND-M2W3-AMD-MI455X-IOD-COUNT","direct_statement","single_source","provisional","","","high","Fixed brochure specification table.","OBJ-AMD-MI455X|FIELD-PHY-DIE-COUNT|2|IOD","draft","Two I/O dies."
"FACT-M2W3-AMD-MI455X-TRANSISTORS","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-TRANSISTORS","","320000000000","count","COND-NONE","direct_statement","single_source","provisional","","","high","Dedicated product page lists 320 Billion.","OBJ-AMD-MI455X|FIELD-PHY-TRANSISTORS|320000000000|COND-NONE","draft","Decimal billion normalization."
"FACT-M2W3-AMD-MI455X-CLOCK","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-CLOCK","","2400000000","Hz","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated page lists 2400 MHz; brochure lists 2.4 GHz.","OBJ-AMD-MI455X|FIELD-PHY-CLOCK|2400000000|peak-engine|COND-NONE","draft","Peak engine clock; not a guaranteed sustained clock."
"FACT-M2W3-AMD-MI455X-FORM-FACTOR","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-FORM-FACTOR","Enhanced Accelerator Module (EAM)","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated page and fixed brochure agree.","OBJ-AMD-MI455X|FIELD-PHY-FORM-FACTOR|EAM|COND-NONE","draft","EAM remains the form of the frozen module object."
"FACT-M2W3-AMD-MI455X-COOLING","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-COOLING","liquid","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated page says Direct Liquid Cooling; brochure says Liquid.","OBJ-AMD-MI455X|FIELD-PHY-COOLING|liquid|COND-NONE","draft","Normalized cooling_mode enum."
"FACT-M2W3-AMD-MI455X-HBM-STACKS","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-HBM-STACKS","","12","count","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated product page and fixed MI400 landing page state 12 stacks.","OBJ-AMD-MI455X|FIELD-PHY-HBM-STACKS|12|COND-NONE","draft","Per MI455X module."
"FACT-M2W3-AMD-MI455X-RAS","OBJ-AMD-MI455X","","","","","","","FIELD-RAS-CAPABILITY","Full-chip ECC memory and page retirement","","","COND-NONE","direct_statement","single_source","provisional","","","high","Fixed brochure specification table.","OBJ-AMD-MI455X|FIELD-RAS-CAPABILITY|full-chip-ECC-page-retirement|COND-NONE","draft","No unsupported fault-isolation claim is added."
"FACT-M2W3-AMD-MI455X-WGP-COUNT","","COMP-M2W3-AMD-MI455X-WGP","","","","","","FIELD-COMP-UNIT-COUNT","","256","count","COND-NONE","direct_statement","single_source","provisional","","","high","The fixed dedicated MI455X product page directly lists 256 Work Group Processors.","COMP-M2W3-AMD-MI455X-WGP|FIELD-COMP-UNIT-COUNT|256|COND-NONE","draft","Product count only; Wave32 and per-WGP mechanisms remain on CDNA 5 architecture."
"FACT-M2W3-AMD-MI455X-HBM4-CAPACITY","","COMP-M2W3-AMD-MI455X-HBM4","","","","","","FIELD-MEM-CAPACITY","","432000000000","byte","COND-NONE","direct_statement","corroborated","provisional","","","high","Dedicated page and fixed brochure agree on 432 GB.","COMP-M2W3-AMD-MI455X-HBM4|FIELD-MEM-CAPACITY|432000000000|COND-NONE","draft","GB is decimal; do not reinterpret as GiB."
"FACT-M2W3-AMD-MI455X-L2-CAPACITY","","COMP-M2W3-AMD-MI455X-L2","","","","","","FIELD-MEM-CAPACITY","","192000000","byte","COND-NONE","direct_statement","single_source","provisional","","","high","Dedicated page lists 192 MB.","COMP-M2W3-AMD-MI455X-L2|FIELD-MEM-CAPACITY|192000000|COND-NONE","draft","MB is kept decimal because the source does not say MiB."
"FACT-M2W3-AMD-MI455X-HBM4-BW","","COMP-M2W3-AMD-MI455X-HBM4","","","","","","FIELD-MEM-BIDIR-BW","","23300000000000","byte/s","COND-M2W3-AMD-MI455X-HBM4-PEAK-BW","direct_statement","corroborated","provisional","","","high","Dedicated page and brochure identify 23.3 TB/s as peak memory bandwidth.","COMP-M2W3-AMD-MI455X-HBM4|FIELD-MEM-BIDIR-BW|23300000000000|COND-M2W3-AMD-MI455X-HBM4-PEAK-BW","draft","Direction is not stated; field and condition retain aggregate/unspecified direction."
"FACT-M2W3-AMD-MI455X-MXFP4-PEAK","","","","","PPATH-M2W3-AMD-MI455X-OCP-MXFP4-MATRIX","","","FIELD-COMP-THROUGHPUT","","40265000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","direct_statement","corroborated","provisional","","","high","Fixed MI455X brochure gives the exact TFLOPS/TOPS table value; the current product page is rounded.","PPATH-M2W3-AMD-MI455X-OCP-MXFP4-MATRIX|FIELD-COMP-THROUGHPUT|40265000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","draft","Fixed brochure exact value: 40,265 TFLOPS in the base TFLOPS column; product page rounds to 40.3 PFLOPs. OCP row sparsity and operation-count rule remain unstated."
"FACT-M2W3-AMD-MI455X-MXFP6-PEAK","","","","","PPATH-M2W3-AMD-MI455X-OCP-MXFP6-MATRIX","","","FIELD-COMP-THROUGHPUT","","20133000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure AI PEAK THEORETICAL PERFORMANCE table lists OCP MXFP6 at 20,133 TFLOP/s.","PPATH-M2W3-AMD-MI455X-OCP-MXFP6-MATRIX|FIELD-COMP-THROUGHPUT|20133000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","draft","Fixed brochure exact value: 20,133 TFLOPS; OCP row sparsity and operation-count rule remain unstated."
"FACT-M2W3-AMD-MI455X-MXFP8-PEAK","","","","","PPATH-M2W3-AMD-MI455X-OCP-MXFP8-MATRIX","","","FIELD-COMP-THROUGHPUT","","20133000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","direct_statement","corroborated","provisional","","","high","Fixed MI455X brochure gives the exact TFLOPS/TOPS table value; the current product page is rounded.","PPATH-M2W3-AMD-MI455X-OCP-MXFP8-MATRIX|FIELD-COMP-THROUGHPUT|20133000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","draft","Fixed brochure exact value: 20,133 TFLOPS; product page rounds to 20.1 PFLOPs. OCP row sparsity and operation-count rule remain unstated."
"FACT-M2W3-AMD-MI455X-FP8-PEAK","","","","","PPATH-M2W3-AMD-MI455X-OCP-FP8-MATRIX","","","FIELD-COMP-THROUGHPUT","","20133000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure AI PEAK THEORETICAL PERFORMANCE table lists OCP FP8 at 20,133 TFLOP/s.","PPATH-M2W3-AMD-MI455X-OCP-FP8-MATRIX|FIELD-COMP-THROUGHPUT|20133000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-SPARSITY-UNSPEC","draft","Fixed brochure exact value: 20,133 TFLOPS. OCP FP8 encoding variant, sparsity and operation-count rule are not stated."
"FACT-M2W3-AMD-MI455X-FP16-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP16-VECTOR","","","FIELD-COMP-THROUGHPUT","","315000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-VECTOR","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure AI PEAK THEORETICAL PERFORMANCE table lists VECTOR FP16 at 315 TFLOP/s.","PPATH-M2W3-AMD-MI455X-FP16-VECTOR|FIELD-COMP-THROUGHPUT|315000000000000|COND-M2W3-AMD-MI455X-PEAK-VECTOR","draft","No lane count or accumulator format is inferred."
"FACT-M2W3-AMD-MI455X-FP16-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP16-MATRIX","","","FIELD-COMP-THROUGHPUT","","5033000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","direct_statement","corroborated","provisional","","","high","Fixed MI455X brochure gives the exact TFLOPS/TOPS table value; the current product page is rounded.","PPATH-M2W3-AMD-MI455X-FP16-MATRIX|FIELD-COMP-THROUGHPUT|5033000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","draft","Base TFLOPS column value, separate from the explicitly labeled W/STRUCTURED SPARSITY column. The source does not print the word dense."
"FACT-M2W3-AMD-MI455X-FP16-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP16-MATRIX","","","FIELD-COMP-THROUGHPUT","","10066000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure lists MATRIX FP16 at 10,066 TFLOP/s in the W/STRUCTURED SPARSITY column.","PPATH-M2W3-AMD-MI455X-FP16-MATRIX|FIELD-COMP-THROUGHPUT|10066000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","draft","Fixed brochure exact structured-sparsity value; the sparsity pattern is not stated."
"FACT-M2W3-AMD-MI455X-FP32-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP32-MATRIX","","","FIELD-COMP-THROUGHPUT","","315000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","direct_statement","corroborated","provisional","","","high","Dedicated product page.","PPATH-M2W3-AMD-MI455X-FP32-MATRIX|FIELD-COMP-THROUGHPUT|315000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","draft","Base TFLOPS column value; no structured-sparsity value is printed. The source does not print the word dense."
"FACT-M2W3-AMD-MI455X-FP32-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP32-VECTOR","","","FIELD-COMP-THROUGHPUT","","315000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-VECTOR","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure AI PEAK THEORETICAL PERFORMANCE table lists VECTOR FP32 at 315 TFLOP/s.","PPATH-M2W3-AMD-MI455X-FP32-VECTOR|FIELD-COMP-THROUGHPUT|315000000000000|COND-M2W3-AMD-MI455X-PEAK-VECTOR","draft",""
"FACT-M2W3-AMD-MI455X-FP64-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP64-MATRIX","","","FIELD-COMP-THROUGHPUT","","5000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure AI PEAK THEORETICAL PERFORMANCE table lists MATRIX FP64 at 5 TFLOP/s.","PPATH-M2W3-AMD-MI455X-FP64-MATRIX|FIELD-COMP-THROUGHPUT|5000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","draft","Base TFLOPS column value; no structured-sparsity value is printed. The source does not print the word dense."
"FACT-M2W3-AMD-MI455X-FP64-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI455X-FP64-VECTOR","","","FIELD-COMP-THROUGHPUT","","5000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-VECTOR","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure AI PEAK THEORETICAL PERFORMANCE table lists VECTOR FP64 at 5 TFLOP/s.","PPATH-M2W3-AMD-MI455X-FP64-VECTOR|FIELD-COMP-THROUGHPUT|5000000000000|COND-M2W3-AMD-MI455X-PEAK-VECTOR","draft",""
"FACT-M2W3-AMD-MI455X-INT8-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI455X-INT8-MATRIX","","","FIELD-COMP-THROUGHPUT","","5033000000000000","OP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure lists MATRIX INT8 at 5,033 TOP/s in the base performance column.","PPATH-M2W3-AMD-MI455X-INT8-MATRIX|FIELD-COMP-THROUGHPUT|5033000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","draft","Base TOPS column value, separate from the explicitly labeled W/STRUCTURED SPARSITY column; stored as OP/s, not FLOP/s."
"FACT-M2W3-AMD-MI455X-INT8-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI455X-INT8-MATRIX","","","FIELD-COMP-THROUGHPUT","","10066000000000000","OP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure lists MATRIX INT8 at 10,066 TOP/s in the W/STRUCTURED SPARSITY column.","PPATH-M2W3-AMD-MI455X-INT8-MATRIX|FIELD-COMP-THROUGHPUT|10066000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","draft","Fixed brochure exact structured-sparsity value; stored as OP/s. The sparsity pattern is not stated."
"FACT-M2W3-AMD-MI455X-BF16-MATRIX-BASE-PEAK","","","","","PPATH-M2W3-AMD-MI455X-BF16-MATRIX","","","FIELD-COMP-THROUGHPUT","","5033000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure lists MATRIX BF16 at 5,033 TFLOP/s in the base performance column.","PPATH-M2W3-AMD-MI455X-BF16-MATRIX|FIELD-COMP-THROUGHPUT|5033000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-BASE","draft","Base TFLOPS column value, separate from the explicitly labeled W/STRUCTURED SPARSITY column. The source does not print the word dense."
"FACT-M2W3-AMD-MI455X-BF16-MATRIX-SPARSE-PEAK","","","","","PPATH-M2W3-AMD-MI455X-BF16-MATRIX","","","FIELD-COMP-THROUGHPUT","","10066000000000000","FLOP/s","COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","direct_statement","single_source","provisional","","","high","The fixed MI455X brochure lists MATRIX BF16 at 10,066 TFLOP/s in the W/STRUCTURED SPARSITY column.","PPATH-M2W3-AMD-MI455X-BF16-MATRIX|FIELD-COMP-THROUGHPUT|10066000000000000|COND-M2W3-AMD-MI455X-PEAK-MATRIX-STRUCTURED","draft","Fixed brochure exact structured-sparsity value; the sparsity pattern is not stated."
"FACT-M2W3-AMD-MI455X-CPU-GPU-BW","","","LINK-M2W3-AMD-MI455X-CPU-GPU","","","","","FIELD-INT-AGGREGATE-BW","","256000000000","byte/s","COND-M2W3-AMD-MI455X-CPU-GPU-BW","direct_statement","single_source","provisional","","","high","Fixed brochure specification table.","LINK-M2W3-AMD-MI455X-CPU-GPU|FIELD-INT-AGGREGATE-BW|256000000000|COND-M2W3-AMD-MI455X-CPU-GPU-BW","draft","Direction and payload basis are not stated."
"FACT-M2W3-AMD-MI455X-SCALEUP-BW","","","LINK-M2W3-AMD-MI455X-SCALEUP-UALOE","","","","","FIELD-INT-AGGREGATE-BW","","3600000000000","byte/s","COND-M2W3-AMD-MI455X-LINK-BIDIR-PEAK","direct_statement","single_source","provisional","","","high","The fixed dedicated MI455X product page directly lists Scale-up (Peak) UALoE Bi-directional Bandwidth at 3.6 TB/s.","LINK-M2W3-AMD-MI455X-SCALEUP-UALOE|FIELD-INT-AGGREGATE-BW|3600000000000|COND-M2W3-AMD-MI455X-LINK-BIDIR-PEAK","draft","UALoE endpoint; no link count or payload efficiency."
"FACT-M2W3-AMD-MI455X-SCALEOUT-BW","","","LINK-M2W3-AMD-MI455X-SCALEOUT-UALINK","","","","","FIELD-INT-AGGREGATE-BW","","600000000000","byte/s","COND-M2W3-AMD-MI455X-LINK-BIDIR-PEAK","direct_statement","single_source","provisional","","","high","The fixed dedicated MI455X product page directly lists Scale-out (Peak) UALink™ Bi-directional Bandwidth at 600 GB/s.","LINK-M2W3-AMD-MI455X-SCALEOUT-UALINK|FIELD-INT-AGGREGATE-BW|600000000000|COND-M2W3-AMD-MI455X-LINK-BIDIR-PEAK","draft","Dedicated page labels UALink; rack-level UEC Ethernet is not merged into this fact."
