"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-IDENTITY","OBJ-AWS-TRN2-3XLARGE","identity","partial","2026-08-13","m2_wave2_queue_audit","draft","SKU、家族和加速器数量已确认；首次可用日期待核"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-PHYSICAL","OBJ-AWS-TRN2-3XLARGE","physical","not_applicable","2026-08-13","m2_wave2_queue_audit","draft","package 与系统物理字段不在云实例卡"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-COMPUTE","OBJ-AWS-TRN2-3XLARGE","compute","not_applicable","2026-08-13","m2_wave2_queue_audit","draft","不复制 Trainium2 芯片计算事实"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-NUMERICS","OBJ-AWS-TRN2-3XLARGE","numerics","not_applicable","2026-08-13","m2_wave2_queue_audit","draft","不复制芯片格式和累加事实"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-MEMORY","OBJ-AWS-TRN2-3XLARGE","memory","partial","2026-08-13","m2_wave2_queue_audit","draft","96 GB 正向值与 512 GiB 被拒绝来源冲突均保留"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-INTERCONNECT","OBJ-AWS-TRN2-3XLARGE","interconnect","partial","2026-08-13","m2_wave2_queue_audit","draft","EFA 有值；实例内拓扑和带宽未找到"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-SPECIAL_ENGINES","OBJ-AWS-TRN2-3XLARGE","special_engines","not_applicable","2026-08-13","m2_wave2_queue_audit","draft","架构和软件能力仅引用"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-SOFTWARE","OBJ-AWS-TRN2-3XLARGE","software","partial","2026-08-13","m2_wave2_queue_audit","draft","共享软件链可引用，未抽取实例专属版本"
"COMP-M2W2-TRN2INST-TRN2-3XLARGE-EVIDENCE","OBJ-AWS-TRN2-3XLARGE","evidence","partial","2026-08-13","m2_wave2_queue_audit","draft","当日动态页已固定；日期缺口仍未解决"
"COMP-M2W2-TRN2INST-TRN2-48XLARGE-IDENTITY","OBJ-AWS-TRN2-48XLARGE","identity","complete","2026-08-13","m2_wave2_queue_audit","draft","实例身份、家族、16 芯片组成和 2024-12-03 状态有一手证据"
