"task_id","phase","title","owner","status","started_date","completed_date","input_paths","output_paths","verification","blocker","next_step"
"MEM-001","M0","建立长期任务状态记录机制","root","completed","2026-08-12","2026-08-12","研究计划.md","进度/README.md|进度/当前状态.md|进度/任务台账.csv|进度/里程碑.md|进度/决策记录.md","文件存在且可按固定顺序恢复上下文","","每个验收节点同步更新"
"SCHEMA-001","M0","建立字段字典与资料卡模板","root","completed","2026-08-12","2026-08-12","研究计划.md|两个历史调研目录","资料卡/字段字典.md|资料卡/模板.md","字段字典与模板升为 0.2；对齐 facts/fact-assertions、七目标外键、正式关系/状态枚举和 32 表注册表；M1 复核发现的存储层级、link_level、bandwidth_direction、traffic_basis/performance_basis 漂移已同步修正","","三张试填卡合并后复审字段粒度和模板可用性"
"AUDIT-001","M0","审计现有 PDF、网页清单与采集脚本","source_pool_audit","completed","2026-08-12","2026-08-12","参考资料总览.md|清单/*|scripts/*","审计/子代理交接/source_pool_audit.md","总控复算：102/102 PDF、282552081 字节、2008 页；URL 914 行、Ordinal 去重 893、忽略大小写 892；四个基线哈希匹配交接","","按审计建议另建可移植只读校验器和来源家族候选表"
"INVENTORY-001","M0","建立七条产品线候选型号清单","model_inventory","completed","2026-08-12","2026-08-12","三个项目目录及厂商一手资料","审计/子代理交接/model_inventory.md","总控检查 7 个厂商章节、64 个唯一官方 URL 和 64 个来源键闭合；抽查 Trainium3、TPU8、Rubin/Groq3、Ascend950、MI400 官方状态通过；寒武纪供货边界保留逐卡复核","","转换为正式 objects 与范围状态；每张卡再次核对身份和状态事实"
"SCHEMA-REVIEW-001","M0","复核对象层级、字段和旧表结构","schema_review","completed","2026-08-12","2026-08-12","资料卡/字段字典.md|资料卡/模板.md|历史 CSV","审计/子代理交接/schema_review.md","总控复算旧表 31/91/50/21/35 条多来源行及历史损坏行；确认 objects+relations、facts 唯一真值、fact-assertions 逐来源、七目标 FK、实体表无数量例外","","按冻结条件建立空表、枚举和完整性校验器；三张样卡后复审"
"TABLES-001","M0","建立正式数据表与校验规则","schema_tables + root","completed","2026-08-12","2026-08-12","字段字典与三份子代理交接","数据/*.csv|最小参考资料库/*.csv|scripts/validation/Validate-ResearchData.ps1|审计/子代理交接/schema_tables.md","总控验收：32 表/323 列、118 字段、71 组 488 枚举、7 厂商、COND-NONE；空库 10954 项检查 PASS；注入坏 vendor_id 的临时副本按预期 FAIL，临时目录已删除","","字段字典和模板升 0.2；三张试填卡后复审字段与枚举"
"PILOT-H100","M1","试填 NVIDIA H100 资料卡","h100_pilot","completed","2026-08-12","2026-08-12","本地 PDF 与 NVIDIA 一手网页","资料卡/NVIDIA/产品/H100_SXM5_80GB_试填草稿.md|审计/子代理交接/h100_pilot.md","资料卡、正式事实链和固定来源完成；合并后独立复核阻断已修正；M1 全局校验通过 39519 项","","在 M2 做 Hopper 同代 SKU 一致性复核"
"PILOT-TRN2","M1","试填 AWS Trainium2 资料卡","trainium2_pilot","completed","2026-08-12","2026-08-12","AWS 一手网页与技术文档","资料卡/AWS/Trainium2_试填草稿.md|审计/子代理交接/trainium2_pilot.md","资料卡与 7 个对象分层完成；芯片/每核路径和冲突轴已拆分；15 个官方网页快照固定","","保留未决冲突并在 AWS M2 批次复核状态"
"PILOT-MLU590","M1","试填寒武纪 MLU590 资料卡","root","completed","2026-08-12","2026-08-12","寒武纪一手公开资料","资料卡/寒武纪/MLU590_试填草稿.md|最小参考资料库/source-families.csv|最小参考资料库/sources.csv|最小参考资料库/source-endpoints.csv|最小参考资料库/source-screening.csv|最小参考资料库/source-selected-roles.csv","低披露卡、49 条字段要求、检索日志、WAIC 快照和固定 MLU-OPS 提交进入正式库","","在寒武纪 M2 身份包继续寻找 SDK 与板卡固定资料"
"PILOT-VALIDATE","M1","验证三类试填卡并冻结批量方法","root + pilot_independent_review","completed","2026-08-12","2026-08-12","三张试填卡及数据表","审计/子代理交接/pilot_independent_review.md|进度/里程碑.md|研究计划.md","两轮独立复核后关闭证据状态、卡片一致性、范围分层和最小集四类阻断；全局 39519 项 PASS","","进入 M2 前置身份核对与对象冻结"
"AUDIT-TOOL-001","M0","建立可移植的资料池只读校验器","audit_tooling","completed","2026-08-12","2026-08-12","审计/子代理交接/source_pool_audit.md|清单/*|论文/*","scripts/validation/Test-SourcePool.ps1|审计/子代理交接/audit_tooling.md","总控先确认脚本无写入/删除/联网动作，再运行通过：102 PDF、282552081 字节、2008 页、914 URL 行、893/892 去重；退出码 0，1 个已知 xref 警告","","将 Test-SourcePool.ps1 作为修改论文或清单前后的基线检查入口"
"INVENTORY-NORM-001","M0","把型号普查拆成稳定对象候选行","inventory_normalizer","completed","2026-08-12","2026-08-12","审计/子代理交接/model_inventory.md|资料卡/字段字典.md","审计/子代理交接/object_candidates.csv|审计/子代理交接/inventory_normalization.md","总控复算：173 行/17 列、主键唯一、七厂商/四层/四范围状态闭合、64 个来源键闭合、关系提示和日期无异常；SHA-256 B0781AFD54DF20D4D072706317164876D5B0FFC3FA30CE7B14EA66F7DCC544C6","","按正式表结构为已确认对象分配 OBJ 标识；96 条 needs_resolution 分批核对后再导入"
"PILOT-H100-SOURCE","M0","完成 H100 试填前来源预审","root","completed","2026-08-12","2026-08-12","清单/论文PDF清单.csv|论文/NVIDIA_GPU/01_厂商直接架构论文|论文/NVIDIA_GPU/02_独立逆向与微基准","审计/子代理交接/h100_source_prep.md","回查 4 份 PDF 元数据并视觉核对发布期规格、版本变化和两版微基准重叠；未写正式事实","等待正式表结构后再下载固定版官方资料","以数据手册和白皮书为最低一手组合启动 H100 试填"
"PILOT-MLU590-SOURCE","M0","完成 MLU590 试填前来源预审","mlu590_source_prep","completed","2026-08-12","2026-08-12","两个历史调研目录|厂商一手网页与版本化 SDK 文档|资料卡 0.1","审计/子代理交接/mlu590_source_prep.md","总控回读：芯片/板卡/软件目标三层分开；C590-S1/S2/S3 最小现有一手组合；供货保持 pending_verification；规格缺口记 not_found；远程解析错误类型记录清楚","CNToolkit/CNNL 直接解析发生远端 Internal Error，尚无本地固定副本；没有厂商产品手册或明确 GA 证据","固定 C590-S1/S2/S3 副本并登记哈希；建立 MLU590 芯片主卡与 H8/M9 板卡候选"
"PILOT-H100-STRUCT","M1","拆分 H100 结构化候选","h100_structured_staging","completed","2026-08-12","2026-08-12","资料卡/NVIDIA/产品/H100_SXM5_80GB_试填草稿.md|正式 schema","审计/子代理交接/h100_structured_staging","18 张 staging 表已合并；独立复核后完成语义修正和最小集筛选","","交接目录作为已接收快照保留"
"PILOT-TRN2-STRUCT","M1","拆分 Trainium2 结构化候选","trainium2_structured_staging","completed","2026-08-12","2026-08-12","资料卡/AWS/Trainium2_试填草稿.md|正式 schema","审计/子代理交接/trainium2_structured_staging","20 张 staging 表已合并；芯片聚合路径、冲突拆分和网页快照完成","","交接目录作为已接收快照保留"
"PILOT-INDEP-REVIEW","M1","独立复核三张试填卡","pilot_independent_review","completed","2026-08-12","2026-08-12","三张试填卡|字段字典|模板|正式枚举|各试填交接","审计/子代理交接/pilot_independent_review.md","初次独立复核与合并后复核均落盘，阻断项有精确事实 ID 和总控关闭记录","","M2 高风险卡继续安排不同代理复核"
"PILOT-H100-WP","M1","补取 H100 v1.04 官方白皮书固定副本","root","completed","2026-08-12","2026-08-12","NVIDIA Hopper 架构页|NVIDIA Resources|Widen 官方入口","论文/NVIDIA_GPU/01_厂商直接架构论文/2022_NVIDIA_H100_Tensor_Core_GPU_Architecture_Whitepaper_v1.04.pdf|清单/论文PDF清单.csv|清单/汇总统计.json|审计/子代理交接/h100_whitepaper_acquisition.md","71 页；7,880,278 字节；SHA-256 3641614979809a027a8aabdc2e77639efb8fcd0f8dc7873a22ba2125489f5a27；封面视觉核对；资料池 103 份 PDF 基线 PASS","","已登记正式来源与本地 endpoint；该任务完成时资料池为 105 份 PDF，当前基线见进度/当前状态.md"
"PILOT-MLU590-REMEDIATE","M1","收敛 MLU590 低披露事实链","mlu590_remediation + root","completed","2026-08-12","2026-08-12","资料卡/寒武纪/MLU590_试填草稿.md|审计/子代理交接/pilot_independent_review.md","审计/子代理交接/mlu590_remediation.md|审计/子代理交接/mlu590_structured_staging","7 条事实、49 条字段要求与 40 条检索日志合并；不可访问证据未生成确认事实","","M2 继续低披露缺口检索"
"PILOT-POSTMERGE-AUDIT","M1","合并后独立复核与总控修正","m1_postmerge_audit + root","completed","2026-08-12","2026-08-12","三张试填卡|正式 32 表|两份独立复核","审计/子代理交接/m1_postmerge_audit.md|审计/M1_试填合并验收.md","四类语义阻断关闭；新增证据基数与 selection-run 校验；39519 项 PASS","","进入 M2"
"M2-BATCH-PLAN","M2","建立七厂商批量建卡工作包","root + m2 planning agents","completed","2026-08-12","2026-08-12","审计/子代理交接/object_candidates.csv|研究计划.md|M1 验收","审计/子代理交接/m2_nvidia_amd_batch_plan.md|审计/子代理交接/m2_cloud_batch_plan.md|审计/子代理交接/m2_huawei_cambricon_batch_plan.md","三份计划覆盖七厂商，工作包、计数、最低一手来源与验收门闭合","","启动 M2 前置身份核对"
