"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:00:01.5922390Z","precommit","lock_acquired","","3928c30557720bfb5366ea41d4f3c278d10397c4ddf8fc46ebb1a220cf758d09","D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_mi455x_formal_transaction_prep\scripts\MI455X-FORMAL-TRANSACTION-LOCK-f29d523edab52a9f.lock"
"2","2026-08-13T07:00:28.6127002Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da"
"3","2026-08-13T07:00:28.6435827Z","commit_complete","csv_replace","数据/card-completeness.csv","35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da","commit_index=1"
"4","2026-08-13T07:00:28.6491778Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a"
"5","2026-08-13T07:00:28.6739253Z","commit_complete","csv_replace","数据/components.csv","e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a","commit_index=2"
"6","2026-08-13T07:00:28.6780022Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f"
"7","2026-08-13T07:00:28.7021032Z","commit_complete","csv_replace","数据/condition-sets.csv","c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f","commit_index=3"
"8","2026-08-13T07:00:28.7215384Z","rollback_begin","csv_restore","数据/condition-sets.csv","c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f","reverse_index=2"
"9","2026-08-13T07:00:28.7367536Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"10","2026-08-13T07:00:28.7407154Z","rollback_begin","csv_restore","数据/components.csv","e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a","reverse_index=1"
"11","2026-08-13T07:00:28.7725652Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"12","2026-08-13T07:00:28.7765336Z","rollback_begin","csv_restore","数据/card-completeness.csv","35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da","reverse_index=0"
"13","2026-08-13T07:00:28.8070265Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"14","2026-08-13T07:00:28.9126038Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
