"object_id","primary_sources","architecture_coverage","compute_coverage","precision_coverage","memory_coverage","interconnect_coverage","special_coverage","software_coverage","physical_coverage","key_missing_or_boundary","current_assessment"
"OBJ-GOOGLE-TPU-V3-ARCH","G01|G02|G05|G06","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","物理累加器位宽、VMEM/片上各级带宽、芯片功耗；Pod 聚合值排除","ready_for_card_draft"
"OBJ-GOOGLE-TPU-V4-ARCH","G01|G03|G05|G07","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","物理累加器位宽、VMEM/CMEM/稀疏存储带宽；光交换属于系统边界","ready_for_card_draft"
"OBJ-GOOGLE-TPU-V5E-ARCH","G05|G08","partial","covered","partial","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","not_found","covered","not_applicable_at_architecture_level","片上 SRAM/VMEM 容量与带宽、累加精度原文定位、SparseCore/专用算子、工艺","draft_with_explicit_gaps"
"OBJ-GOOGLE-TPU-V5P-ARCH","G01|G05|G09","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","95/96 GiB 是实现层作用域候选，不是架构冲突；片上带宽与物理累加器位宽未找到","draft_with_conflict"
"OBJ-GOOGLE-TPU-V6E-ARCH","G05|G10","partial","covered","partial","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","partial","covered","not_applicable_at_architecture_level","片上存储容量/带宽、SparseCore 具体代际与能力、累加器物理位宽、工艺","draft_with_explicit_gaps"
"OBJ-GOOGLE-TPU7X-ARCH","G01|G04|G05|G11|G12","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","7300/7380 GB/s 是实现层显示精度/版本差；VPU/Scalar 定量吞吐下沉","ready_with_version_qualifier"
"OBJ-GOOGLE-TPU-8T-ARCH","G13|G14","partial","covered","partial","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","未来对象；TensorCore/MXU 数量、累加精度、ICI 绝对值、工艺和 die 结构未明确","future_explicit_only"
"OBJ-GOOGLE-TPU-8I-ARCH","G13|G14","partial","covered","partial","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","未来对象；矩阵/向量/标量组织与累加精度未明确；Boardfly/Pod 不下放","future_explicit_only"
"OBJ-AWS-INFERENTIA1-ARCH","A01|A02","covered","covered","covered","mechanism_only_implementation_values_deferred","not_found","not_found","partial","not_applicable_at_architecture_level","片上 SRAM 容量/带宽、DRAM 类型、NeuronLink 带宽、工艺、专用 MoE/Top-K 模块","draft_with_explicit_gaps"
"OBJ-AWS-TRAINIUM1-ARCH","A03|A05","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","partial","covered","not_applicable_at_architecture_level","SBUF/PSUM 带宽、NeuronLink 方向口径、工艺；无专用 MoE routing 一手证据","ready_for_card_draft"
"OBJ-AWS-INFERENTIA2-ARCH","A04|A05","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","partial","covered","not_applicable_at_architecture_level","SBUF/PSUM 带宽、NeuronLink 方向口径、工艺；无专用 MoE routing 一手证据","ready_for_card_draft"
"OBJ-AWS-TRAINIUM2-ARCH","formal M1 facts and sources","implementation_projection_only","implementation_projection_only","implementation_projection_only","implementation_projection_only","implementation_projection_only","implementation_projection_only","implementation_projection_only","not_applicable_at_architecture_level","复用映射 110 行覆盖 109 个唯一 M1 fact_id；只做当前实现投影，不复制、不上卷；架构自身事实待总控决定是否另建","reference_existing_only"
"OBJ-AWS-TRAINIUM3-ARCH","A06|A07|A08","covered","covered","covered","mechanism_only_implementation_values_deferred","mechanism_only_implementation_values_deferred","covered","covered","not_applicable_at_architecture_level","16/20 CC-Core 与 4.9/4.7 TB/s 是 silicon_package 真冲突候选；架构卡只留机制","draft_with_conflict"
"OBJ-AWS-TRAINIUM4-ARCH","A09","minimal_future","relative_only","not_found","missing_architecture_mechanism","not_found","not_found","not_found","not_applicable_at_architecture_level","未来对象只披露相对 Trainium3 倍数与预计 2027；不得推导绝对值或假定 NCv5","future_explicit_only"
